"","gene_ID","AT_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","coefficient","rank","p_val","p_val_adj","TF","TF_family","Gene_functions","source"
"Chir06Ox-b28370.2","Chir06Ox-b28370.2","AT5G10890","T30N20.160",0.814779245339295,0.538,0.037,0.454040639218314,5,0,0,NA,NA,"asymmetric cell division, molecular_function, nucleus","GEP_33"
"Chir01Ox-b07190.2","Chir01Ox-b07190.2",NA,NA,0.69297677221046,0.64,0.096,0.436905921220515,10,0,0,NA,NA,NA,"GEP_33"
"Chir06Ox-b37080.2","Chir06Ox-b37080.2","AT5G01180","PTR5",0.669641780072717,0.425,0.012,0.735656651834784,2,0,0,NA,NA,"dipeptide transport, nucleus, plasma membrane, pollen tube growth, tripeptide transmembrane transporter activity","GEP_33"
"Chir04Ox-b30440.2","Chir04Ox-b30440.2","AT2G47485","AT2G47485.1",0.660098881146294,0.502,0.058,0.310815549114482,30,0,0,NA,NA,"inorganic ion homeostasis, mitochondrion, monocarboxylic acid metabolic process","GEP_33"
"Chir06Ox-b36980.2","Chir06Ox-b36980.2","AT5G01075","TWS1",0.563020787095057,0.465,0.037,0.821643868480602,1,0,0,NA,NA,"endomembrane system, protein storage vacuole organization","GEP_33"
"Chir07Ox-b16250.2","Chir07Ox-b16250.2","AT4G19380","T5K18.160",0.52020213409441,0.439,0.045,0.446112139319389,7,0,0,NA,NA,"biological_process, chloroplast, flavin adenine dinucleotide binding, long-chain-alcohol oxidase activity","GEP_33"
"Chir04Ox-b05930.2","Chir04Ox-b05930.2","AT2G24762","AtGDU4",0.450681477080682,0.238,0.044,0.352971450628141,21,2.63972071379853e-257,5.18969092332791e-253,NA,NA,"chloroplast, molecular_function, regulation of amino acid export","GEP_33"
"Chir07Ox-b23930.2","Chir07Ox-b23930.2","AT4G26790","GGL23",0.419571834736905,0.507,0.08,0.340148280106803,24,0,0,NA,NA,"hydrolase activity, acting on ester bonds","GEP_33"
"Chir02Ox-b11260.2","Chir02Ox-b11260.2","AT1G65620","AT1G65620.1",0.37178164255045,0.287,0.049,0.632127962623392,3,0,0,"Yes","LBD","adaxial/abaxial axis specification, nucleoplasm, nucleus, petal development, polarity specification of adaxial/abaxial axis, protein binding, proximal/distal pattern formation, specification of symmetry","GEP_33"
"Chir01Ox-b05280.2","Chir01Ox-b05280.2","AT1G06000","AT1G06000.1",0.350477837696795,0.246,0.055,0.461302793048841,4,6.26330007559051e-211,1.2313647948611e-206,NA,NA,"chloroplast, cytosol, extracellular region, flavonol biosynthetic process, glycosyltransferase activity, UDP-glycosyltransferase activity","GEP_33"
