,Chirsutav12,pval,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,X,Athaliana,Chir_length,Ath_length,TF,TF_family,Gene_code_name,Gene_functions
1,Chir02Ox-b16250.2,0,0.252244251,0.429,0.097,0,0,Chir02Ox-b16250.2,4468,AT1G69770,5956,5569,NA,NA,CMT3,"chromatin binding, DNA (cytosine-5-)-methyltransferase activity, DNA methylation, DNA methylation on cytosine within a CNG sequence, histone H3-K9 methylation, negative regulation of gene expression, epigenetic, nucleus, ubiquitin protein ligase binding, zygote asymmetric cytokinesis in embryo sac"
2,Chir04Ox-b21230.2,0,0.29507829,0.442,0.078,0,0,Chir04Ox-b21230.2,9670,AT2G38720,3471,4055,NA,NA,MAP65-5,"cortical microtubule, cytoplasm, microtubule, microtubule binding, microtubule cytoskeleton organization, microtubule polymerization, phragmoplast, plasmodesma, preprophase band, spindle"
3,Chir05Ox-b21860.2,0,0.736413235,0.45,0.091,0,1,Chir05Ox-b21860.2,12032,AT3G56220,1836,1795,NA,NA,F18O21.180,"DNA-binding transcription factor activity, mitochondrion, nucleus, protein dimerization activity, regulation of DNA-templated transcription, sequence-specific DNA binding"
4,Chir01Ox-b00010.2,0,0.808346102,0.506,0.06,0,2,Chir01Ox-b00010.2,1,AT1G02205,4176,4163,NA,NA,CER1,"aldehyde catabolic process, aldehyde decarbonylase activity, aldehyde oxygenase (deformylating) activity, alkane biosynthetic process, C-4 methylsterol oxidase activity, cuticle development, defense response to bacterium, defense response to fungus, endoplasmic reticulum membrane, iron ion binding, lipid biosynthetic process, membrane, mitochondrion, octadecanal decarbonylase activity, oxidoreductase activity, response to water deprivation, sterol biosynthetic process, wax biosynthetic process"
5,Chir01Ox-b03330.2,0,0.576305815,0.416,0.081,0,2,Chir01Ox-b03330.2,282,AT1G04250,2394,2585,NA,NA,AXR3,"auxin-activated signaling pathway, DNA-binding transcription factor activity, identical protein binding, nucleus, positive regulation of leaf senescence, protein binding, regulation of DNA-templated transcription, response to auxin"
6,Chir01Ox-b04190.2,0,1.162282928,0.554,0.072,0,2,Chir01Ox-b04190.2,356,AT1G05010,1648,1833,NA,NA,ACO4,"1-aminocyclopropane-1-carboxylate oxidase activity, cellular response to fatty acid, cytoplasm, cytosol, dioxygenase activity, ethylene biosynthetic process, extracellular region, response to fungus"
7,Chir01Ox-b05360.2,0,0.594060523,0.466,0.094,0,2,Chir01Ox-b05360.2,458,AT1G06080,2790,2848,NA,NA,AtADS1,"16:0 monogalactosyldiacylglycerol desaturase activity, endoplasmic reticulum membrane, mitochondrion, oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water, unsaturated fatty acid biosynthetic process, very long-chain fatty acid biosynthetic process"
8,Chir01Ox-b07190.2,0,0.598785421,0.529,0.088,0,2,Chir01Ox-b07190.2,NA,NA,NA,NA,NA,NA,NA,NA
9,Chir01Ox-b16410.2,0,0.793612307,0.335,0.035,0,2,Chir01Ox-b16410.2,1371,AT1G16370,1814,1814,NA,NA,ATOCT6,"carbohydrate transmembrane transporter activity, cellular response to salt stress, cellular response to water deprivation, plant-type vacuole membrane, plasma membrane, transmembrane transport, transmembrane transporter activity"
10,Chir01Ox-b22060.2,0,0.401772342,0.405,0.096,0,2,Chir01Ox-b22060.2,1872,AT1G22330,3284,3211,NA,NA,AT1G22330.1,"cell growth, cell wall organization or biogenesis, cellular lipid metabolic process, monocarboxylic acid metabolic process, mRNA binding, nucleus, plant epidermis development"
11,Chir01Ox-b23320.2,0,0.593153828,0.527,0.079,0,2,Chir01Ox-b23320.2,1972,AT1G23480,3719,3552,NA,NA,ATCSLA03,"anatomical structure maturation, cell differentiation, cellulose synthase activity, developmental growth, fatty acid metabolic process, glucomannan 4-beta-mannosyltransferase activity, glycosyltransferase activity, Golgi apparatus, mannan synthase activity, plant epidermis development, response to light stimulus, root morphogenesis, tissue development"
12,Chir01Ox-b28260.2,0,0.696869156,0.584,0.1,0,2,Chir01Ox-b28260.2,2372,AT1G29720,7071,6214,NA,NA,RKFL1,"phosphorylation, plasma membrane, protein phosphorylation, protein serine/threonine kinase activity"
13,Chir01Ox-b31710.2,0,0.887659431,0.59,0.056,0,2,Chir01Ox-b31710.2,NA,NA,NA,NA,NA,NA,NA,NA
14,Chir01Ox-b32940.2,0,0.724991653,0.626,0.096,0,2,Chir01Ox-b32940.2,2709,AT1G34640,1281,991,NA,NA,F12K21.2,"anther wall tapetum development, cellular lipid metabolic process, cellular response to starvation, glucosinolate metabolic process, lipid biosynthetic process, membrane lipid biosynthetic process, mitochondrion, molecular_function, organelle organization, oxoacid metabolic process, secondary metabolic process, secondary metabolite biosynthetic process, signal peptidase complex, signal peptide processing"
15,Chir01Ox-b33150.2,0,0.662246904,0.602,0.071,0,2,Chir01Ox-b33150.2,2717,AT1G35180,2578,1728,NA,NA,T32G9.28,"cellular lipid metabolic process, cellular_component, lipid biosynthetic process, molecular_function, monocarboxylic acid metabolic process"
16,Chir01Ox-b37770.2,0,1.010142556,0.423,0.047,0,2,Chir01Ox-b37770.2,NA,NA,NA,NA,NA,NA,NA,NA
17,Chir01Ox-b43670.2,0,1.387516725,0.649,0.08,0,2,Chir01Ox-b43670.2,3429,AT1G55260,1888,1893,NA,NA,LTPG6,"defense response to fungus, membrane, nucleus"
18,Chir02Ox-b02310.2,0,0.562095702,0.413,0.044,0,2,Chir02Ox-b02310.2,3658,AT1G62975,2791,2085,Yes,bHLH,NA,"DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleus, protein dimerization activity, regulation of DNA-templated transcription, regulation of transcription by RNA polymerase II, RNA polymerase II transcription regulator complex, RNA polymerase II transcription regulatory region sequence-specific DNA binding"
19,Chir02Ox-b06050.2,0,0.54911427,0.466,0.092,0,2,Chir02Ox-b06050.2,3855,AT1G60090,3216,2713,NA,NA,BGLU4,"beta-glucosidase activity, carbohydrate metabolic process, hydrolase activity, hydrolyzing O-glycosyl compounds, plasma membrane, scopolin beta-glucosidase activity"
20,Chir02Ox-b10000.2,0,0.441853357,0.488,0.092,0,2,Chir02Ox-b10000.2,4056,AT1G54790,3384,3087,NA,NA,AT1G54790.2,"chloroplast, hydrolase activity, acting on ester bonds"
21,Chir02Ox-b12640.2,0,0.513080428,0.414,0.055,0,2,Chir02Ox-b12640.2,4198,AT1G66760,2829,2561,NA,NA,F4N21.11,"antiporter activity, membrane, response to wounding, transmembrane transporter activity, xenobiotic detoxification by transmembrane export across the plasma membrane, xenobiotic transmembrane transporter activity"
22,Chir02Ox-b13740.2,0,0.411781658,0.427,0.08,0,2,Chir02Ox-b13740.2,4260,AT1G67560,4479,4777,NA,NA,ATLOX6,"chloroplast, jasmonic acid biosynthetic process, linoleate 13S-lipoxygenase activity, lipid oxidation, oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen, oxylipin biosynthetic process, plasma membrane, response to wounding"
23,Chir02Ox-b14850.2,0,0.386834748,0.332,0.026,0,2,Chir02Ox-b14850.2,4350,AT1G68530,2383,2610,NA,NA,CUT1,"cuticle development, cytoplasm, endoplasmic reticulum, fatty acid biosynthetic process, mitochondrion, response to cold, response to light stimulus, unidimensional cell growth, very long-chain fatty acid metabolic process, very-long-chain 3-ketoacyl-CoA synthase activity, wax biosynthetic process"
24,Chir02Ox-b16990.2,0,0.64435282,0.451,0.033,0,2,Chir02Ox-b16990.2,NA,NA,NA,NA,NA,NA,NA,NA
25,Chir02Ox-b17470.2,0,0.401923494,0.457,0.091,0,2,Chir02Ox-b17470.2,4563,AT1G70895,1211,1819,NA,NA,AT1G70895.1,"apoplast, cell-cell signaling involved in cell fate commitment, lateral root formation, maintenance of root meristem identity, mitochondrion, phloem development, positive regulation of cell differentiation, regulation of cell differentiation, stem cell differentiation"
26,Chir02Ox-b20610.2,0,0.948695976,0.449,0.081,0,2,Chir02Ox-b20610.2,NA,NA,NA,NA,NA,NA,NA,NA
27,Chir02Ox-b22440.2,0,1.03315184,0.398,0.079,0,2,Chir02Ox-b22440.2,4959,AT1G75500,2374,2549,NA,NA,UMAMIT5,"auxin export across the plasma membrane, mitochondrion, plant-type secondary cell wall biogenesis, plant-type vacuole, plant-type vacuole membrane, plasma membrane, positive regulation of auxin metabolic process, positive regulation of tryptophan metabolic process, transmembrane transporter activity, unidimensional cell growth"
28,Chir02Ox-b22510.2,0,0.465214008,0.377,0.07,0,2,Chir02Ox-b22510.2,4966,AT1G75580,1024,933,NA,NA,SAUR51,"cellular_component, response to abscisic acid, response to auxin"
29,Chir02Ox-b22970.2,0,1.276563403,0.414,0.047,0,2,Chir02Ox-b22970.2,4994,AT1G75900,3154,2433,NA,NA,GGL13,"acyltransferase activity, endoplasmic reticulum, extracellular region, lipase activity, response to osmotic stress, response to water deprivation"
30,Chir02Ox-b24270.2,0,0.649285498,0.444,0.053,0,2,Chir02Ox-b24270.2,5103,AT1G77200,1252,1118,Yes,ERF,AT1G77200.1,"DNA-binding transcription factor activity, nucleus, protein binding, regulation of DNA-templated transcription, regulation of post-embryonic development, response to abscisic acid, response to red or far red light, response to salt stress, response to water deprivation, root development"
31,Chir02Ox-b25940.2,0,0.616415099,0.407,0.057,0,2,Chir02Ox-b25940.2,5241,AT1G78820,1987,1835,NA,NA,AT1G78820.1,"apoplast, extracellular region, response to light stimulus"
32,Chir03Ox-b03470.2,0,0.746675575,0.603,0.089,0,2,Chir03Ox-b03470.2,5737,AT3G04210,2414,2602,NA,NA,AT3G04210.1,"ADP binding, cellular response to organic substance, cytoplasm, defense response to bacterium, defense response to fungus, endoplasmic reticulum, immune system process, innate immune response, protein binding, regulation of defense response, response to chitin, response to salicylic acid, signal transduction, systemic acquired resistance"
33,Chir03Ox-b05000.2,0,0.447523418,0.364,0.054,0,2,Chir03Ox-b05000.2,5858,AT3G05600,1298,1608,NA,NA,AtEH1,"cutin biosynthetic process, cytosol, epoxide hydrolase activity, hydrolase activity"
34,Chir03Ox-b07970.2,0,0.908779999,0.418,0.047,0,2,Chir03Ox-b07970.2,6116,AT3G08770,709,819,NA,NA,AtLtpI-6,"extracellular region, lipid transport, response to water deprivation"
