"gene_ID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","AT_ID","TF","TF_family","Gene_code_name","Gene_functions"
"Chir04Ox-b10990.2",0.908267071293969,0.334933973087115,0.364,0.327,1,NA,NA,NA,NA,NA
"Chir01Ox-b18070.2",9.14572570343239e-164,0.282283373972194,0.528,0.335,1.63543867028778e-159,NA,NA,NA,NA,NA
"Chir01Ox-b43120.2",5.3332079286042e-174,0.461140181910484,0.58,0.395,9.53684241793004e-170,"AT1G54040",NA,NA,"ESP","chloroplast, cytoplasm, defense response to bacterium, enzyme regulator activity, glucosinolate catabolic process, leaf senescence, nitrile biosynthetic process, nucleus, protein binding, response to jasmonic acid"
"Chir04Ox-b10020.2",0,0.413543926167624,0.656,0.407,0,"AT2G28500","Yes","LBD","AT2G28500.1","cellular catabolic process, defense response to other organism, immune system process, negative regulation of abscisic acid-activated signaling pathway, nucleus, organic substance catabolic process, phyllome development, regulation of defense response, response to fungus, response to organonitrogen compound, response to salt stress, response to water deprivation, salicylic acid mediated signaling pathway"
"Chir01Ox-b30630.2",1.19602454889649e-68,0.257704964584847,0.555,0.438,2.13873109833671e-64,"AT1G32080",NA,NA,"AtLrgB","cellular response to water deprivation, chloroplast, chloroplast envelope, chloroplast inner membrane, chloroplast organization, lateral root development, response to abscisic acid, stomatal movement"
"Chir03Ox-b00610.2",1.70851048532722e-152,0.796412189130368,0.644,0.456,3.05515844986213e-148,"AT3G01500",NA,NA,"CA1","apoplast, carbon utilization, carbonate dehydratase activity, chloroplast, chloroplast envelope, chloroplast stroma, chloroplast thylakoid membrane, cytoplasm, cytosol, mRNA binding, negative regulation of stomatal complex development, photosynthesis, plasma membrane, regulation of stomatal movement, response to carbon dioxide, response to cold, stromule, thylakoid, zinc ion binding"
"Chir06Ox-b24210.2",0,0.50193962912776,0.747,0.457,0,"AT5G15160","Yes","bHLH","BNQ2","DNA-binding transcription factor activity, photomorphogenesis, plant-type vacuole, protein binding, protein dimerization activity, regulation of DNA-templated transcription, regulation of growth, regulation of timing of transition from vegetative to reproductive phase"
"Chir04Ox-b20860.2",3.20647497395837e-172,0.325272304582511,0.648,0.469,5.73381854843236e-168,"AT2G38400",NA,NA,"AGT3","alanine-glyoxylate transaminase activity, chloroplast, organic acid metabolic process, protein binding, pyridoxal phosphate binding, regulation of developmental process, response to abscisic acid, response to jasmonic acid, response to light stimulus, response to lipid, response to wounding"
"Chir05Ox-b02290.2",1.28606329533708e-145,0.280727337620822,0.647,0.471,2.29973838472176e-141,"AT2G03550",NA,NA,"T4M8.1","hydrolase activity, methyl indole-3-acetate esterase activity, response to light stimulus, sulfur compound metabolic process"
"Chir05Ox-b04030.2",0,0.925607995305859,0.76,0.471,0,"AT3G26740",NA,NA,"CCL","chloroplast, chloroplast thylakoid membrane protein complex, circadian rhythm, cytosol, molecular_function"
"Chir01Ox-b18780.2",2.00140365862432e-169,0.314919102016864,0.65,0.477,3.578910022352e-165,"AT1G18730",NA,NA,"NDF6","chloroplast, chloroplast thylakoid membrane, molecular_function, NAD(P)H dehydrogenase complex (plastoquinone), photosynthetic electron transport in photosystem I"
"Chir06Ox-b04340.2",7.07217006352927e-264,0.442725180630106,0.652,0.485,1.2646454507603e-259,"AT5G44578",NA,NA,"PROSCOOP9","biological_process, endoplasmic reticulum, extracellular region, mitochondrion, molecular_function"
"Chir07Ox-b01870.2",2.84991685790805e-67,0.28385193933979,0.58,0.485,5.09622132531117e-63,NA,NA,NA,NA,NA
"Chir01Ox-b15240.2",9.29192309928925e-190,0.259975991344244,0.657,0.487,1.6615816886149e-185,"AT1G15125",NA,NA,"AT1G15125.1","methylation, nucleus, S-adenosylmethionine-dependent methyltransferase activity"
"Chir06Ox-b23630.2",0,0.445460575594594,0.725,0.494,0,"AT5G15780",NA,NA,"F14F8.160","flower development, molecular_function, phyllome development, regionalization, regulation of cell communication, regulation of signaling, tissue development"
"Chir07Ox-b18590.2",6.84203993678417e-153,0.350559224095261,0.621,0.494,1.22349358149574e-148,"AT4G21930",NA,NA,"F1N20.2","cellular response to abscisic acid stimulus, cellular_component, molecular_function, response to water deprivation, secondary metabolic process"
"Chir04Ox-b23190.2",0,0.784759011416386,0.765,0.515,0,"AT2G40435",NA,NA,"T2P4.23","DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription, sequence-specific DNA binding"
"Chir07Ox-b08980.2",8.89715766078809e-137,0.259960710717803,0.636,0.515,1.59098973290213e-132,"AT4G13440",NA,NA,"T9E8.180","calcium ion binding, cell differentiation, developmental growth, mitochondrion, root development, tissue development"
"Chir08Ox-b05670.2",0,0.275507761998486,0.714,0.519,0,"AT4G12290",NA,NA,"CuAO","amine metabolic process, aminoacetone:oxygen oxidoreductase(deaminating) activity, copper ion binding, endosome, extracellular region, Golgi apparatus, phenethylamine:oxygen oxidoreductase (deaminating) activity, plant-type vacuole, primary amine oxidase activity, quinone binding, regulation of reactive oxygen species biosynthetic process, stomatal movement, trans-Golgi network, tryptamine:oxygen oxidoreductase (deaminating) activity"
"Chir08Ox-b19010.2",3.68377592988971e-190,0.255013320783269,0.68,0.519,6.58732811782878e-186,"AT5G56840","Yes","MYB_related","MIK19.31","DNA binding, DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription, zinc ion binding"
"Chir01Ox-b14150.2",4.6304423205165e-116,0.296425199607385,0.635,0.527,8.28015695754761e-112,"AT1G14150",NA,NA,"PQL1","calcium ion binding, chloroplast, chloroplast thylakoid, chloroplast thylakoid lumen, chloroplast thylakoid membrane, electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity, extrinsic component of membrane, nitrite reductase complex [NAD(P)H], photosynthetic electron transport chain, photosystem II oxygen evolving complex"
"Chir02Ox-b02960.2",0,0.458128209730855,0.768,0.529,0,"AT1G62510",NA,NA,"T3P18.7","cellular_component, molecular_function, oxoacid metabolic process, response to lipid, response to water deprivation"
"Chir02Ox-b17600.2",0,0.542305531598357,0.756,0.53,0,"AT1G71030","Yes","MYB_related","ATMYBL2","anthocyanin-containing compound biosynthetic process, cell differentiation, DNA-binding transcription factor activity, nucleus, proanthocyanidin biosynthetic process, protein binding, transcription cis-regulatory region binding"
"Chir07Ox-b34990.2",3.78991371404422e-190,0.265474188817191,0.713,0.54,6.77712370345387e-186,"AT4G37550",NA,NA,"IAMH1","cellular response to light stimulus, chloroplast, cytosol, formamidase activity, hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides, monocarboxylic acid biosynthetic process, plant-type vacuole, plasma membrane, response to jasmonic acid, response to wounding"
"Chir04Ox-b29630.2",0,0.415468947619485,0.766,0.542,0,"AT2G46710",NA,NA,"AT2G46710.1","cytoplasm, plant-type cell wall organization, plasma membrane, protein binding, secondary cell wall, signal transduction"
"Chir03Ox-b17780.2",1.48340713892493e-287,0.328687374641073,0.734,0.546,2.65262864582555e-283,"AT3G17980",NA,NA,"AtC2","cytosol, GTPase activator activity, nucleus, phospholipid binding, plasma membrane, positive regulation of abscisic acid-activated signaling pathway, positive regulation of defense response to bacterium, positive regulation of GTPase activity, positive regulation of response to salt stress, protein binding, response to salt stress"
"Chir01Ox-b15030.2",4.3372089297124e-180,0.265792381397315,0.725,0.55,7.75579700811172e-176,"AT1G14890",NA,NA,"F10B6.30","enzyme inhibitor activity, mitochondrion, negative regulation of catalytic activity"
"Chir06Ox-b22200.2",1.2766562951004e-90,0.251377430787495,0.649,0.553,2.28291678689853e-86,"AT5G17165",NA,NA,NA,"carbohydrate derivative metabolic process, molecular_function, nucleus, porphyrin-containing compound metabolic process, regulation of biological quality, response to inorganic substance, response to light intensity"
"Chir03Ox-b15560.2",4.0317354109712e-292,0.378428820747283,0.764,0.555,7.20954926189871e-288,"AT3G15810",NA,NA,"MSJ11.21","catabolic process, cellular response to salicylic acid stimulus, cytoplasm, cytosol, defense response to bacterium, defense response to fungus, hormone-mediated signaling pathway, molecular_function, regulation of defense response, response to abscisic acid, response to organonitrogen compound, response to radiation, response to salt stress, response to water deprivation"
"Chir01Ox-b06870.2",6.77856695955789e-191,0.352352034783399,0.712,0.558,1.21214334370814e-186,NA,NA,NA,NA,NA
"Chir04Ox-b16850.2",1.83172991375928e-231,0.285177784869088,0.73,0.558,3.27549943178435e-227,"AT2G34660",NA,NA,"ATMRP2","(+)-abscisic acid D-glucopyranosyl ester transmembrane transport, (+)-abscisic acid D-glucopyranosyl ester transmembrane transporter activity, ABC-type transporter activity, ABC-type xenobiotic transporter activity, ATPase-coupled transmembrane transporter activity, endoplasmic reticulum, membrane, plant-type vacuole, transmembrane transport, vacuolar membrane, vacuole"
"Chir06Ox-b01210.2",0,0.471666143278785,0.765,0.563,0,"AT5G46690","Yes","bHLH","bHLH071","DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleus, protein binding, protein dimerization activity, regulation of DNA-templated transcription, regulation of transcription by RNA polymerase II, RNA polymerase II cis-regulatory region sequence-specific DNA binding"
"Chir06Ox-b04360.2",0,0.747281844797348,0.76,0.563,0,"AT5G44570",NA,NA,"PROSCOOP5","chloroplast, defense response to insect, endoplasmic reticulum, extracellular region, mitochondria-nucleus signaling pathway, molecular_function, response to wounding"
"Chir08Ox-b08610.2",5.94097629436234e-207,0.319929734044116,0.706,0.564,1.06236538095787e-202,"AT4G09820","Yes","bHLH","BHLH42","DNA-binding transcription factor activity, jasmonic acid mediated signaling pathway, nucleus, positive regulation of anthocyanin biosynthetic process, protein binding, protein dimerization activity, regulation of flavonoid biosynthetic process, regulation of proanthocyanidin biosynthetic process, seed coat development, seed development, transcription cis-regulatory region binding, trichome differentiation"
"Chir06Ox-b29650.2",0,0.504875265342088,0.772,0.565,0,NA,NA,NA,NA,NA
"Chir01Ox-b18380.2",5.40847513990863e-273,0.4287504999175,0.749,0.567,9.67143524518462e-269,"AT1G18360",NA,NA,"AT1G18360.1","acylglycerol lipase activity, chloroplast, lipase activity, membrane, porphyrin-containing compound metabolic process, shoot system development"
"Chir06Ox-b31020.2",1.0494823844223e-216,0.31108603319122,0.73,0.568,1.87668439982395e-212,"AT5G07990",NA,NA,"TT7","extracellular region, flavonoid 3'-monooxygenase activity, flavonoid biosynthetic process, heme binding, iron ion binding, membrane, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen, response to auxin, response to UV"
"Chir07Ox-b35390.2",1.35948518953442e-133,0.27392402123202,0.673,0.572,2.43103141592545e-129,"AT4G37925",NA,NA,"NDH-M","chloroplast, chloroplast thylakoid membrane, NAD(P)H dehydrogenase complex (plastoquinone), oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor, plasma membrane"
"Chir05Ox-b21860.2",0,0.820299667207168,0.798,0.577,0,"AT3G56220",NA,NA,"F18O21.180","DNA-binding transcription factor activity, mitochondrion, nucleus, protein dimerization activity, regulation of DNA-templated transcription, sequence-specific DNA binding"
"Chir07Ox-b15130.2",0,0.610279161322508,0.822,0.577,0,NA,NA,NA,NA,NA
