"CH_ID","AT_ID","gene_length_CH","gene_length_AT","TF","TF_family","Gene_code_name","Gene_functions"
"Chir01Ox-b14810.2","AT1G14700","2508","2557",NA,NA,"PAP3","acid phosphatase activity, dephosphorylation, ferric iron binding, ferrous iron binding, generation of precursor metabolites and energy, negative regulation of cellular metabolic process, negative regulation of cellular process, nucleus, plant-type vacuole, response to light intensity"
"Chir01Ox-b19510.2","AT1G19570","1370","1221",NA,NA,"DHAR1","acquisition of seed longevity, apoplast, ascorbate glutathione cycle, cellular oxidant detoxification, cellular response to hydrogen peroxide, chloroplast, chloroplast stroma, copper ion binding, cytosol, glutathione dehydrogenase (ascorbate) activity, glutathione transferase activity, L-ascorbic acid metabolic process, mitochondrion, nucleus, peroxisome, plant-type vacuole, plasma membrane, positive regulation of salicylic acid mediated signaling pathway, regulation of biological process involved in symbiotic interaction, response to jasmonic acid, response to ozone, response to symbiotic fungus, response to zinc ion"
"Chir01Ox-b21060.2","AT1G21310","1415","1764",NA,NA,"ATEXT3","anatomical structure maturation, cell differentiation, cellular catabolic process, defense response to bacterium, defense response to fungus, immune system process, plant epidermis development, plant-type cell wall organization, response to inorganic substance, response to oxidative stress, response to salicylic acid, root morphogenesis, structural constituent of cell wall, toxin metabolic process"
"Chir01Ox-b29650.2","AT1G31040","3374","3054",NA,NA,"PLATZ3","leaf development, leaf senescence, mitochondrion, nucleus, response to auxin, response to cytokinin"
"Chir01Ox-b42060.2","AT1G53180","1741","1676",NA,NA,"F12M16.8","hormone-mediated signaling pathway, molecular_function, nucleus, protein localization, regulation of signal transduction"
"Chir02Ox-b02980.2","AT1G62480","1097","1108",NA,NA,"AT1G62480.1","cytosol, nucleus"
"Chir02Ox-b14000.2","AT1G67750","2133","2081",NA,NA,"AT1G67750.1","extracellular region, meiotic cell cycle process, mitochondrion, pectate lyase activity, pectin catabolic process, response to nutrient levels"
"Chir02Ox-b16260.2","AT1G69780","2010","1993","Yes","HD-ZIP","ATHB13","cotyledon morphogenesis, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, leaf morphogenesis, nucleus, positive regulation of DNA-templated transcription, primary root development, response to sucrose, sequence-specific DNA binding, transcription cis-regulatory region binding"
"Chir03Ox-b08070.2","AT3G08860","2905","3221",NA,NA,"PYD4","alanine-glyoxylate transaminase activity, cellular response to nitrogen levels, chloroplast, pyridoxal phosphate binding, transaminase activity"
"Chir03Ox-b12420.2","AT3G13175","909","739",NA,NA,"PRCE1","carboxylic acid biosynthetic process, cellular polysaccharide biosynthetic process, cellular_component, cellulose metabolic process, organelle organization, protein binding, secondary metabolic process"
"Chir04Ox-b18800.2","AT2G36540","1386","1212",NA,NA,"F1O11.17","lipid metabolic process, nucleus, phosphoprotein phosphatase activity"
"Chir04Ox-b25400.2","AT2G42610","10265","2743",NA,NA,"LSH10","cellular developmental process, glucosinolate metabolic process, molecular_function, mRNA transcription, nucleus, oxoacid metabolic process, post-embryonic plant morphogenesis, regionalization, response to light intensity, response to light stimulus, stomatal complex development"
"Chir05Ox-b16230.2","AT3G50870","1557","1661","Yes","GATA","HAN","cotyledon development, DNA-binding transcription activator activity, RNA polymerase II-specific, DNA-binding transcription factor activity, embryo development ending in seed dormancy, flower development, negative regulation of DNA-templated transcription, nucleus, protein binding, protein homodimerization activity, regulation of DNA-templated transcription, regulation of flower development, regulation of meristem structural organization, sequence-specific DNA binding, zinc ion binding"
"Chir05Ox-b19470.2","AT3G53990","2075","1894",NA,NA,"USP17","chaperone-mediated protein folding, cytoplasm, cytosol, nucleic acid binding, nucleus, plasma membrane, plasmodesma, response to cold, response to heat, response to oxidative stress, RNA folding"
"Chir05Ox-b20810.2","AT3G55240","1374","1997",NA,NA,"T26I12.120","chloroplast, developmental process, molecular_function"
"Chir06Ox-b04370.2","AT5G44572","1295","2250",NA,NA,"PROSCOOP6","defense response to insect, endoplasmic reticulum, extracellular region, molecular_function, response to wounding"
"Chir06Ox-b10180.2","AT5G48900","4634","4062",NA,NA,"AT5G48900.1","cellular developmental process, developmental growth, extracellular region, lipid metabolic process, lyase activity, pectate lyase activity, pectin catabolic process, response to auxin, response to red or far red light"
"Chir06Ox-b24220.2","AT5G15150","2162","2277","Yes","HD-ZIP","ATHB-3","DNA binding, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleus, positive regulation of DNA-templated transcription, sequence-specific DNA binding"
"Chir06Ox-b28700.2","AT5G10570","2303","1879","Yes","bHLH","F12B17.80","DNA-binding transcription factor activity, nucleus, protein dimerization activity, regulation of DNA-templated transcription, sequence-specific DNA binding"
"Chir08Ox-b06850.2","AT4G11320","2349","2713",NA,NA,"CP2","cysteine-type endopeptidase activity, extracellular region, extracellular space, lysosome, peptidase activity, proteolysis, proteolysis involved in protein catabolic process"
"Chir08Ox-b07590.2","AT4G10640","2637","2692",NA,NA,"ABS6","biological_process, calmodulin binding, microtubule, nucleus, plasma membrane, protein binding"
"Chir07Ox-b35010.2","NA","NA","NA","NA","NA","NA","NA"
"Chir08Ox-b22580.2","NA","NA","NA","NA","NA","NA","NA"
