"gene_ID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","AT_ID","TF","TF_family","Gene_code_name","Gene_functions"
"Chir02Ox-b02110.2",0,1.06757903411481,0.816,0.05,0,"AT1G63100","Yes","GRAS","SCL28","DNA binding, DNA-binding transcription factor activity, nucleus, protein binding, regulation of DNA-templated transcription, regulation of mitotic cell cycle, sequence-specific DNA binding"
"Chir08Ox-b07020.2",0,0.319602609077518,0.492,0.074,0,"AT4G11140","Yes","ERF","AT4G11140.1","cotyledon development, DNA-binding transcription factor activity, leaf development, nucleus, protein binding, regulation of DNA-templated transcription, transcription cis-regulatory region binding"
"Chir03Ox-b16050.2",0,0.792568087844838,0.674,0.077,0,"AT3G16280","Yes","ERF","ERF036","alpha-amino acid metabolic process, carboxylic acid biosynthetic process, DNA-binding transcription factor activity, glucosinolate metabolic process, nucleus, regulation of DNA-templated transcription, response to inorganic substance, response to wounding, transcription cis-regulatory region binding"
"Chir08Ox-b00690.2",0,0.36325137139359,0.607,0.147,0,"AT4G00540","Yes","MYB","ATMYB3R2","DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleus, regulation of circadian rhythm, regulation of DNA-templated transcription, RNA polymerase II cis-regulatory region sequence-specific DNA binding, sequence-specific DNA binding"
"Chir07Ox-b35530.2",0,0.535949387433292,0.69,0.149,0,"AT4G38070","Yes","bHLH","F20D10.190","DNA-binding transcription factor activity, mitochondrion, nucleus, protein dimerization activity, regulation of DNA-templated transcription"
"Chir08Ox-b19030.2",8.1743992107078e-186,0.251718119726736,0.47,0.185,1.60708688482515e-181,"AT5G56860","Yes","GATA","GATA21","chloroplast elongation, chloroplast organization, circadian rhythm, cytokinin-activated signaling pathway, DNA-binding transcription factor activity, gibberellic acid mediated signaling pathway, glucose mediated signaling pathway, negative regulation of flower development, negative regulation of gibberellic acid mediated signaling pathway, negative regulation of seed germination, nucleus, plant organ senescence, positive regulation of chlorophyll biosynthetic process, protein binding, regulation of carbohydrate utilization, regulation of chlorophyll biosynthetic process, regulation of DNA-templated transcription, regulation of gene expression, regulation of nitrogen compound metabolic process, regulation of photoperiodism, flowering, regulation of seed development, regulation of seed germination, response to auxin, response to cytokinin, response to gibberellin, response to light stimulus, transcription cis-regulatory region binding, zinc ion binding"
"Chir08Ox-b29440.2",1.00800956123659e-24,0.372680411243107,0.287,0.19,1.98174679739114e-20,"AT5G66940","Yes","Dof","AT5G66940.1","DNA binding, DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription, transcription cis-regulatory region binding, zinc ion binding"
"Chir06Ox-b27720.2",0,0.350679631886486,0.678,0.196,0,"AT5G11510","Yes","MYB","MYB3R-4","cytokinesis, defense response to fungus, DNA-binding transcription activator activity, RNA polymerase II-specific, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, negative regulation of cellular response to caffeine, nucleus, phragmoplast, positive regulation of DNA-templated transcription, protein binding, regulation of cytokinesis, regulation of DNA endoreduplication, regulation of DNA-templated transcription, response to fungus, response to salicylic acid, RNA polymerase II cis-regulatory region sequence-specific DNA binding, sequence-specific DNA binding, spindle, transcription cis-regulatory region binding"
"Chir07Ox-b20760.2",2.8179332892703e-233,0.330910483746652,0.669,0.297,5.54005684670541e-229,"AT4G23750","Yes","ERF","TMO3","cotyledon development, DNA-binding transcription factor activity, identical protein binding, nucleus, protein binding, regulation of DNA-templated transcription, root development, transcription cis-regulatory region binding"
"Chir07Ox-b21690.2",1.33735125349809e-124,0.250507968454898,0.727,0.429,2.62923256437725e-120,"AT4G24660","Yes","ZF-HD","ATHB22","DNA binding, DNA-binding transcription factor activity, embryo development ending in seed dormancy, nucleus, protein binding, protein homodimerization activity, regulation of DNA-templated transcription, transcription cis-regulatory region binding"
"Chir01Ox-b38410.2",0,0.499520130775337,0.923,0.574,0,"AT1G49480","Yes","B3","RTV1","DNA binding, nucleus, plasma membrane, protein binding, response to cold"
"Chir07Ox-b31970.2",6.29756386230534e-165,0.462515355754536,0.873,0.604,1.23810105532923e-160,"AT4G34590","Yes","bZIP","ATB2","DNA-binding transcription factor activity, negative regulation of translation, nucleus, positive regulation of DNA-templated transcription, protein binding, protein heterodimerization activity, response to sucrose, sequence-specific DNA binding, sucrose induced translational repression, transcription cis-regulatory region binding"
"Chir08Ox-b28090.2",2.57670845521328e-75,0.257953894664444,0.958,0.813,5.06580882294932e-71,"AT5G65410","Yes","ZF-HD","ATHB25","DNA-binding transcription factor activity, nucleus, protein binding, protein homodimerization activity, regulation of DNA-templated transcription, regulation of gibberellin biosynthetic process, seed maturation, transcription cis-regulatory region binding"
