"gene_ID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","AT_ID","TF","TF_family","Gene_code_name","Gene_functions"
"Chir03Ox-b14360.2",3.52194566945112e-262,0.306768608241619,0.293,0.101,6.9241451861409e-258,"AT3G14740",NA,NA,"MIE1.25","cellular_component, molecular_function, nucleus, regulation of transcription by RNA polymerase II"
"Chir07Ox-b17640.2",0,0.298565574308688,0.469,0.152,0,"AT4G21070",NA,NA,"ATBRCA1","BRCA1-A complex, BRCA1-BARD1 complex, cellular response to gamma radiation, DNA recombination, DNA repair, double-strand break repair via homologous recombination, negative regulation of fatty acid biosynthetic process, negative regulation of histone acetylation, nucleus, plasma membrane, positive regulation of histone acetylation, positive regulation of transcription by RNA polymerase II, protein binding, response to gamma radiation, ubiquitin-protein transferase activity"
"Chir08Ox-b23470.2",0,0.51032978269447,0.439,0.153,0,"AT5G61000",NA,NA,"RPA70D","damaged DNA binding, DNA replication factor A complex, DNA unwinding involved in DNA replication, double-strand break repair via homologous recombination, meiotic cell cycle, nucleotide-excision repair, nucleus, single-stranded telomeric DNA binding, telomere maintenance via telomerase"
"Chir06Ox-b26430.2",0,0.401828685875866,0.422,0.158,0,"AT5G13060",NA,NA,"AT5G13060.1","chloroplast, DNA replication preinitiation complex, DNA-templated DNA replication, negative regulation of cell population proliferation, negative regulation of DNA-templated DNA replication, nucleus, protein binding, regulation of cell population proliferation"
"Chir06Ox-b22130.2",1.76309767648984e-56,0.324551818413639,0.266,0.166,3.46625003197902e-52,"AT5G17220",NA,NA,"ATGSTF12","anthocyanin-containing compound metabolic process, cation binding, cytoplasm, glutathione binding, glutathione transferase activity, nucleus, plant-type vacuole membrane, regulation of flavonol biosynthetic process, toxin catabolic process"
"Chir06Ox-b29970.2",3.03453950384493e-202,0.295882481695478,0.367,0.168,5.96590466455913e-198,"AT5G09370",NA,NA,"AT5G09370.1","lipid binding, lipid transport, membrane, plasma membrane"
"Chir05Ox-b03710.2",1.58153278452942e-91,0.423997304047657,0.302,0.169,3.10929345438483e-87,NA,NA,NA,NA,NA
"Chir01Ox-b35900.2",0,0.879022673370691,0.544,0.186,0,"AT1G47210",NA,NA,"CYCA3;2","cyclin-dependent protein kinase holoenzyme complex, cyclin-dependent protein serine/threonine kinase regulator activity, cytoplasm, mitotic cell cycle phase transition, nucleus, regulation of cyclin-dependent protein serine/threonine kinase activity"
"Chir06Ox-b07350.2",1.52257995933561e-48,0.284085806628998,0.282,0.186,2.99339220005381e-44,"AT5G42800",NA,NA,"DFR","anthocyanin-containing compound biosynthetic process, dihydrokaempferol 4-reductase activity, extrinsic component of endoplasmic reticulum membrane, flavanone 4-reductase activity, oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor, protein binding"
"Chir08Ox-b28040.2",0,1.0808428184347,0.574,0.195,0,NA,NA,NA,NA,NA
