"","gene_ID","AT_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","p_val","p_val_adj","TF","TF_family","Gene_functions","source"
"Chir02Ox-b11720.2","Chir02Ox-b11720.2","AT1G57820","VIM1",0.61653159781929,0.711,0.227,0,0,NA,NA,"cell division, chromatin binding, chromatin organization, chromocenter, DNA methylation on cytosine, DNA methylation on cytosine within a CG sequence, double-stranded methylated DNA binding, histone binding, maintenance of DNA methylation, methyl-CpG binding, methyl-CpNpG binding, methyl-CpNpN binding, nucleus, pericentric heterochromatin formation, positive regulation of DNA methylation-dependent heterochromatin formation, ubiquitin protein ligase activity, ubiquitin-protein transferase activity","GEP_5and DEGs"
"Chir02Ox-b23040.2","Chir02Ox-b23040.2",NA,NA,1.09784053757964,0.855,0.288,0,0,NA,NA,NA,"GEP_5and DEGs"
"Chir01Ox-b15040.2","Chir01Ox-b15040.2","AT1G14900","HMGA",0.615113705589869,0.7,0.311,0,0,NA,NA,"chloroplast, chromatin, cytosol, DNA binding, double-stranded DNA binding, negative regulation of DNA recombination, nucleolus, nucleosomal DNA binding, nucleosome, nucleosome assembly, nucleus, regulation of DNA-templated transcription","GEP_5and DEGs"
"Chir04Ox-b10410.2","Chir04Ox-b10410.2",NA,NA,2.21595542903718,0.878,0.312,0,0,NA,NA,NA,"GEP_5and DEGs"
"Chir05Ox-b11100.2","Chir05Ox-b11100.2",NA,NA,1.86709207102781,0.892,0.341,0,0,NA,NA,NA,"GEP_5and DEGs"
"Chir08Ox-b22280.2","Chir08Ox-b22280.2","AT5G59870","HTA6",1.8393021892078,0.897,0.347,0,0,NA,NA,"chromatin binding, DNA binding, heterochromatin, heterochromatin organization, nucleolus, nucleus, pericentric heterochromatin, plasmodesma, plastid, protein heterodimerization activity, structural constituent of chromatin","GEP_5and DEGs"
"Chir01Ox-b08780.2","Chir01Ox-b08780.2",NA,NA,2.33066795044881,0.908,0.384,0,0,NA,NA,NA,"GEP_5and DEGs"
"Chir01Ox-b11230.2","Chir01Ox-b11230.2","AT1G80740","CMT1",0.592381655946899,0.848,0.401,0,0,NA,NA,"chromatin binding, DNA (cytosine-5-)-methyltransferase activity, DNA-mediated transformation, nucleus","GEP_5and DEGs"
"Chir01Ox-b08430.2","Chir01Ox-b08430.2","AT1G08880","HTA5",1.42119667083587,0.905,0.412,0,0,NA,NA,"DNA binding, extracellular region, nucleus, protein heterodimerization activity, structural constituent of chromatin","GEP_5and DEGs"
"Chir05Ox-b19240.2","Chir05Ox-b19240.2",NA,NA,2.09671294543168,0.908,0.416,0,0,NA,NA,NA,"GEP_5and DEGs"
"Chir01Ox-b25290.2","Chir01Ox-b25290.2","AT1G25440","BBX15",0.340884393127903,0.699,0.378,0,0,"Yes","CO-like","DNA-binding transcription factor activity, nucleus, protein binding, regulation of DNA-templated transcription, zinc ion binding","DEGs"
"Chir08Ox-b28040.2","Chir08Ox-b28040.2",NA,NA,1.0808428184347,0.574,0.195,0,0,NA,NA,NA,"DEGs"
"Chir03Ox-b20700.2","Chir03Ox-b20700.2","AT3G20670","HTA13",2.17723487293349,0.93,0.428,0,0,NA,NA,"cytosol, DNA binding, nucleus, protein heterodimerization activity, structural constituent of chromatin","DEGs"
"Chir08Ox-b28050.2","Chir08Ox-b28050.2","AT1G09200","HTR2",2.30323034946782,0.91,0.43,0,0,NA,NA,"chromosome organization, DNA replication, extracellular region, gametophyte development, negative regulation of cellular process, nucleus, regulation of cell cycle","DEGs"
"Chir06Ox-b28880.2","Chir06Ox-b28880.2",NA,NA,2.12182486135204,0.924,0.463,0,0,NA,NA,NA,"DEGs"
"Chir08Ox-b22300.2","Chir08Ox-b22300.2",NA,NA,2.21244032117731,0.931,0.464,0,0,NA,NA,NA,"DEGs"
"Chir04Ox-b10370.2","Chir04Ox-b10370.2","AT2G28720","HTB3",1.50229289718976,0.926,0.503,0,0,NA,NA,"DNA binding, nucleosome assembly, nucleus, peroxisome, protein heterodimerization activity, structural constituent of chromatin","DEGs"
"Chir01Ox-b06140.2","Chir01Ox-b06140.2",NA,NA,2.02606837635201,0.942,0.512,0,0,NA,NA,NA,"DEGs"
"Chir05Ox-b20030.2","Chir05Ox-b20030.2","AT3G54560","HTA11",1.49250158100854,0.936,0.514,0,0,NA,NA,"defense response to bacterium, detection of temperature stimulus, DNA binding, flower development, negative regulation of DNA-templated transcription, nucleus, protein binding, protein heterodimerization activity, regulation of DNA methylation, regulation of gene expression, response to osmotic stress, structural constituent of chromatin","DEGs"
"Chir05Ox-b10680.2","Chir05Ox-b10680.2",NA,NA,1.54505846594076,0.908,0.522,0,0,NA,NA,NA,"DEGs"
"Chir06Ox-b16870.2","Chir06Ox-b16870.2",NA,NA,2.21417957239262,0.941,0.539,0,0,NA,NA,NA,"DEGs"
