"gene_ID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","AT_ID","TF","TF_family","Gene_code_name","Gene_functions"
"Chir06Ox-b35150.2",0,0.37969248310347,0.178,0.014,0,"AT5G67651","Yes",NA,"RCO","Leaf Complexity"
"Chir06Ox-b35870.2",0,0.407246654131783,0.338,0.021,0,"AT5G03150","Yes","C2H2","JKD","asymmetric cell division, DNA-binding transcription factor activity, nucleus, positive regulation of DNA-templated transcription, protein binding, protein homodimerization activity, regulation of cell division, regulation of DNA-templated transcription, regulation of epidermal cell differentiation, regulation of meristem growth, root development, sequence-specific DNA binding"
"Chir05Ox-b16230.2",0,0.520495385017822,0.309,0.032,0,"AT3G50870","Yes","GATA","HAN","cotyledon development, DNA-binding transcription activator activity, RNA polymerase II-specific, DNA-binding transcription factor activity, embryo development ending in seed dormancy, flower development, negative regulation of DNA-templated transcription, nucleus, protein binding, protein homodimerization activity, regulation of DNA-templated transcription, regulation of flower development, regulation of meristem structural organization, sequence-specific DNA binding, zinc ion binding"
"Chir01Ox-b35290.2",0,0.53556099988031,0.352,0.035,0,"AT1G44830","Yes","ERF","AtERF014","DNA-binding transcription factor activity, jasmonic acid and ethylene-dependent systemic resistance, nucleus, positive regulation of DNA-templated transcription, regulation of innate immune response, regulation of pectin biosynthetic process, salicylic acid mediated signaling pathway, transcription cis-regulatory region binding"
"Chir03Ox-b19330.2",0,0.316780340927989,0.284,0.054,0,"AT3G19500","Yes","bHLH","MLD14.24","DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleus, protein dimerization activity, regulation of DNA-templated transcription, regulation of transcription by RNA polymerase II, RNA polymerase II cis-regulatory region sequence-specific DNA binding"
"Chir07Ox-b25110.2",2.59713276466959e-256,0.255246219316237,0.264,0.058,5.10596301534041e-252,"AT4G27950","Yes","ERF","AT4G27950.1","DNA-binding transcription factor activity, leaf development, nucleus, protein binding, regulation of DNA-templated transcription"
"Chir01Ox-b16570.2",2.33751452315353e-194,0.290297506598922,0.24,0.061,4.59555355251984e-190,"AT1G16530","Yes","LBD","LBD3","cell differentiation, nucleus, root morphogenesis, tissue development, transcription cis-regulatory region binding"
"Chir01Ox-b28850.2",0,0.276794457467514,0.407,0.086,0,"AT1G30330","Yes","ARF","AT1G30330.1","DNA-binding transcription factor activity, flower development, nucleus, protein binding, regulation of DNA-templated transcription, response to auxin"
"Chir06Ox-b28700.2",0,0.3699802002425,0.36,0.089,0,"AT5G10570","Yes","bHLH","F12B17.80","DNA-binding transcription factor activity, nucleus, protein dimerization activity, regulation of DNA-templated transcription, sequence-specific DNA binding"
"Chir08Ox-b08610.2",1.70386374708871e-93,0.39047884988253,0.238,0.096,3.3497961267764e-89,"AT4G09820","Yes","bHLH","BHLH42","DNA-binding transcription factor activity, jasmonic acid mediated signaling pathway, nucleus, positive regulation of anthocyanin biosynthetic process, protein binding, protein dimerization activity, regulation of flavonoid biosynthetic process, regulation of proanthocyanidin biosynthetic process, seed coat development, seed development, transcription cis-regulatory region binding, trichome differentiation"
"Chir08Ox-b28310.2",3.97548120415938e-303,0.399296659023425,0.477,0.161,7.81579604737733e-299,"AT5G65640","Yes","bHLH","bHLH093","DNA-binding transcription factor activity, gibberellin catabolic process, nucleus, protein dimerization activity, regulation of DNA-templated transcription, regulation of gibberellin biosynthetic process, sequence-specific DNA binding"
"Chir03Ox-b32220.2",4.87522700877914e-286,0.393049220022756,0.509,0.184,9.58469629925979e-282,"AT2G17770","Yes","bZIP","ATBZIP27","DNA-binding transcription factor activity, nucleus, positive regulation of DNA-templated transcription, protein binding, protein self-association, regulation of photoperiodism, flowering"
