PeakID	Chr	Start	End	Strand	Peak.Score	Focus.Ratio.Region.Size	Annotation	Detailed.Annotation	Distance.to.TSS	Nearest.PromoterID	Chi_ID	Ath_ID
Peak1	Chr6	76584	78963	+	0	NA	promoter-TSS	NA	-1063	Chir06Ox_b00280.2_T001	Chir06Ox_b00280.2	AT5G47560
Peak2	Chr6	16439562	16442127	+	0	NA	promoter-TSS	NA	-1157	Chir06Ox_b13450.2_T001	Chir06Ox_b13450.2	AT5G26340
Peak3	Chr4	24156779	24158357	+	0	NA	promoter-TSS	NA	-471	Chir04Ox_b26740.2_T001	Chir04Ox_b26740.2	AT2G43920
Peak4	Chr3	9755512	9756422	+	0	NA	intron	NA	970	Chir03Ox_b24800.2_T001	Chir03Ox_b24800.2	AT3G24503
Peak5	Chr5	1819589	1820522	+	0	NA	TTS	NA	1122	Chir05Ox_b03190.2_T001	Chir05Ox_b03190.2	NA
Peak6	Chr3	6999142	7000078	+	0	NA	promoter-TSS	NA	52	Chir03Ox_b19630.2_T001	Chir03Ox_b19630.2	AT3G19780
Peak7	Chr1	5267152	5268099	+	0	NA	promoter-TSS	NA	-229	Chir01Ox_b14930.2_T001	Chir01Ox_b14930.2	AT1G14790
Peak8	Chr3	8498926	8500882	+	0	NA	Intergenic	NA	5467	Chir03Ox_b23020.2_T001	Chir03Ox_b23020.2	AT3G22970
Peak9	Chr1	6789207	6791231	+	0	NA	promoter-TSS	NA	-544	Chir01Ox_b19340.2_T001	Chir01Ox_b19340.2	AT1G19350
Peak10	Chr7	14552735	14553609	+	0	NA	TTS	NA	2628	Chir07Ox_b09780.2_T002	Chir07Ox_b09780.2	AT4G14030
Peak11	Chr4	14105783	14106621	+	0	NA	Intergenic	NA	-16417	Chir04Ox_b08430.2_T001	Chir04Ox_b08430.2	AT2G27230
Peak12	Chr8	18903646	18906017	+	0	NA	promoter-TSS	NA	-1003	Chir08Ox_b27550.2_T001	Chir08Ox_b27550.2	AT5G64905
Peak13	Chr4	17355642	17358603	+	0	NA	promoter-TSS	NA	-1141	Chir04Ox_b11350.2_T001	Chir04Ox_b11350.2	AT2G29660
Peak14	Chr4	23331217	23332263	+	0	NA	promoter-TSS	NA	-55	Chir04Ox_b24570.2_T001	Chir04Ox_b24570.2	AT2G41770
Peak15	Chr3	6845788	6847151	+	0	NA	promoter-TSS	NA	-1084	Chir03Ox_b19290.2_T001	Chir03Ox_b19290.2	AT3G19450
Peak16	Chr1	6430109	6431058	+	0	NA	TTS	NA	1186	Chir01Ox_b18380.2_T001	Chir01Ox_b18380.2	AT1G18360
Peak17	Chr4	23592482	23593930	+	0	NA	promoter-TSS	NA	-385	Chir04Ox_b25240.2_T001	Chir04Ox_b25240.2	AT2G42490
Peak18	Chr3	4806113	4808285	+	0	NA	promoter-TSS	NA	-1897	Chir03Ox_b13970.2_T001	Chir03Ox_b13970.2	AT3G14450
Peak19	Chr3	4228305	4229699	+	0	NA	promoter-TSS	NA	-442	Chir03Ox_b12360.2_T001	Chir03Ox_b12360.2	AT3G13120
Peak20	Chr7	14907993	14909177	+	0	NA	TTS	NA	1686	Chir07Ox_b10270.2_T001	Chir07Ox_b10270.2	AT4G12730
