"gene_ID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","AT_ID","TF","TF_family","Gene_code_name","Gene_functions"
"Chir02Ox-b20560.2",0,0.445075322196734,0.171,0,0,"AT1G73780",NA,NA,"F25P22.20","extracellular region, lipid transport, molecular_function"
"Chir06Ox-b13230.2",0,0.456604654547999,0.181,0.001,0,"AT5G26630","Yes","M-type_MADS","AGL35","DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleus, protein dimerization activity, regulation of DNA-templated transcription, regulation of transcription by RNA polymerase II, RNA polymerase II cis-regulatory region sequence-specific DNA binding, transcription cis-regulatory region binding"
"Chir02Ox-b13370.2",0,0.356822179559075,0.168,0.002,0,"AT1G67265",NA,NA,"DVL3","molecular_function, negative regulation of cell population proliferation, plasma membrane, shoot system development"
"Chir08Ox-b23570.2",0,0.291404225662715,0.181,0.002,0,"AT5G61120",NA,NA,"PHD6","biological_process, molecular_function, nucleus"
"Chir02Ox-b03100.2",0,1.80540881027457,0.703,0.003,0,"AT1G62360","Yes","TALE","STM","carpel development, cytokinin biosynthetic process, cytoplasm, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, endosome, floral meristem determinacy, microtubule cytoskeleton, nucleus, plasma membrane, plasmodesma, plasmodesmata-mediated intercellular transport, protein binding, protein homodimerization activity, regulation of meristem structural organization, regulation of transcription by RNA polymerase II, RNA binding, RNA polymerase II cis-regulatory region sequence-specific DNA binding, stem cell population maintenance"
"Chir03Ox-b21940.2",0,0.448655802074026,0.244,0.003,0,"AT3G21770",NA,NA,"MSD21.10","cytoplasm, extracellular region, glycosyltransferase activity, heme binding, nucleus, peroxidase activity, plant-type cell wall, plasmodesma, response to oxidative stress, response to stress"
"Chir07Ox-b28870.2",0,0.35480317614786,0.163,0.003,0,"AT4G31610","Yes","B3","REM1","flower development, megagametogenesis, nucleus, pollen development, protein binding"
"Chir01Ox-b24440.2",2.62876207772207e-205,0.31864907754608,0.118,0.004,5.16814624480159e-201,"AT1G26780","Yes","MYB","MYB117","DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleus, organ boundary specification between lateral organs and the meristem, regulation of DNA-templated transcription, RNA polymerase II cis-regulatory region sequence-specific DNA binding"
"Chir02Ox-b17040.2",0,1.25199892033137,0.745,0.004,0,"AT1G70510","Yes","TALE","KNAT2","cytokinin-activated signaling pathway, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleus, protein binding, regulation of DNA-templated transcription, regulation of transcription by RNA polymerase II, response to ethylene, RNA polymerase II cis-regulatory region sequence-specific DNA binding, specification of carpel identity"
"Chir03Ox-b34160.2",0,0.711788237320611,0.323,0.004,0,"AT2G19590",NA,NA,"ATACO1","1-aminocyclopropane-1-carboxylate oxidase activity, cellular response to fatty acid, cellular response to nitric oxide, cellular response to potassium ion starvation, cytoplasm, ethylene biosynthetic process"
"Chir08Ox-b20700.2",0,0.302053044224705,0.21,0.004,0,"AT5G58500",NA,NA,"LSH5","molecular_function, mRNA transcription, nucleus, post-embryonic plant morphogenesis, response to light stimulus"
"Chir03Ox-b23740.2",0,0.3990603591941,0.184,0.006,0,"AT3G23635",NA,NA,"RTFL13","cellular response to hormone stimulus, cellular response to lipid, cellular response to oxygen-containing compound, mitochondrion, molecular_function, negative regulation of cell population proliferation, plasma membrane"
"Chir05Ox-b23900.2",4.8316822440515e-254,0.34050756953282,0.157,0.006,9.49908729180525e-250,NA,NA,NA,NA,NA
"Chir07Ox-b06830.2",0,0.437288503250253,0.268,0.007,0,NA,NA,NA,NA,NA
"Chir08Ox-b10180.2",0,2.95517166790137,0.887,0.007,0,"AT4G08150","Yes","TALE","KNAT1","cell fate commitment, cell fate specification, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, identical protein binding, nucleus, protein binding, regulation of transcription by RNA polymerase II, RNA polymerase II cis-regulatory region sequence-specific DNA binding, transcription cis-regulatory region binding, xylem and phloem pattern formation, xylem development"
"Chir06Ox-b35090.2",1.33934342282801e-215,1.20135046609512,0.171,0.008,2.63314916927988e-211,"AT5G03840",NA,NA,"TFL1","cytoplasm, meristem determinacy, negative regulation of flower development, nucleus, plasma membrane, protein targeting to vacuole, response to sucrose, transcription coregulator activity, vacuole, vegetative to reproductive phase transition of meristem, vesicle"
"Chir08Ox-b25430.2",0,0.415894011264748,0.27,0.008,0,"AT5G62920",NA,NA,"ARR6","cytokinin-activated signaling pathway, cytoplasm, intracellular anatomical structure, nucleus, phosphorelay response regulator activity, phosphorelay signal transduction system, protein binding, regulation of DNA-templated transcription, response to cytokinin"
