"gene_ID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","AT_ID","TF","TF_family","Gene_code_name","Gene_functions"
"Chir02Ox-b17040.2",2.81338670920643e-264,1.21211695395386,0.852,0.096,5.03089811340294e-260,"AT1G70510","Yes","TALE","KNAT2","cytokinin-activated signaling pathway, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleus, protein binding, regulation of DNA-templated transcription, regulation of transcription by RNA polymerase II, response to ethylene, RNA polymerase II cis-regulatory region sequence-specific DNA binding, specification of carpel identity"
"Chir04Ox-b27580.2",1.18391214964897e-270,0.29913016827845,0.675,0.114,2.1170717060023e-266,"AT2G44745","Yes","WRKY","AtWRKY12","DNA-binding transcription factor activity, nucleus, plant-type cell wall biogenesis, protein binding, regulation of DNA-templated transcription, sequence-specific DNA binding, shoot system development"
"Chir02Ox-b03100.2",1.15510946179778e-239,1.74607251839405,0.858,0.188,2.06556673958678e-235,"AT1G62360","Yes","TALE","STM","carpel development, cytokinin biosynthetic process, cytoplasm, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, endosome, floral meristem determinacy, microtubule cytoskeleton, nucleus, plasma membrane, plasmodesma, plasmodesmata-mediated intercellular transport, protein binding, protein homodimerization activity, regulation of meristem structural organization, regulation of transcription by RNA polymerase II, RNA binding, RNA polymerase II cis-regulatory region sequence-specific DNA binding, stem cell population maintenance"
"Chir01Ox-b23240.2",1.02449076505419e-155,0.842560045561448,0.817,0.289,1.83199438606991e-151,"AT1G23380","Yes","TALE","KNAT6","DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, meristem maintenance, nucleus, protein binding, regulation of transcription by RNA polymerase II, RNA polymerase II cis-regulatory region sequence-specific DNA binding, transcription cis-regulatory region binding"
"Chir07Ox-b36270.2",3.01679635734247e-138,0.710304165282772,0.77,0.317,5.39463524619981e-134,"AT4G39410","Yes","WRKY","WRKY13","DNA-binding transcription factor activity, nucleus, positive regulation of DNA-templated transcription, positive regulation of sclerenchyma cell differentiation, protein binding, regulation of lignin biosynthetic process, RNA polymerase II cis-regulatory region sequence-specific DNA binding, stress response to cadmium ion, transcription cis-regulatory region binding"
"Chir08Ox-b30210.2",5.10588953412353e-68,0.750399704050508,0.694,0.326,9.1303516649197e-64,"AT5G66350","Yes","SRS","SHI","anther development, DNA binding, DNA-binding transcription factor activity, gibberellic acid mediated signaling pathway, negative regulation of gibberellic acid mediated signaling pathway, nucleus, pollen development, positive regulation of DNA-templated transcription, protein binding, protein heterodimerization activity, regulation of DNA-templated transcription, response to gibberellin, transcription cis-regulatory region binding"
"Chir06Ox-b36910.2",1.02890083297636e-160,0.925590299927574,0.861,0.371,1.83988046952833e-156,"AT5G02030","Yes","TALE","LSN","cytosol, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, floral whorl morphogenesis, fruit development, internode patterning, maintenance of floral meristem identity, maintenance of inflorescence meristem identity, negative regulation of DNA-templated transcription, nucleus, pattern specification process, plant organ formation, protein binding, regulation of transcription by RNA polymerase II, RNA polymerase II cis-regulatory region sequence-specific DNA binding, secondary shoot formation, sequence-specific DNA binding, shoot system development, vegetative to reproductive phase transition of meristem, xylem and phloem pattern formation, xylem development"
"Chir07Ox-b33410.2",3.60640419607539e-112,1.1616869113197,0.79,0.373,6.44897198342201e-108,"AT4G35900","Yes","bZIP","FD","DNA-binding transcription factor activity, nucleus, photoperiodism, positive regulation of DNA-templated transcription, positive regulation of flower development, protein binding, protein self-association, regulation of DNA-templated transcription, regulation of flower development, regulation of photoperiodism, flowering"
"Chir08Ox-b10180.2",4.79894482111437e-243,3.08819158783055,0.956,0.398,8.58147312911672e-239,"AT4G08150","Yes","TALE","KNAT1","cell fate commitment, cell fate specification, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, identical protein binding, nucleus, protein binding, regulation of transcription by RNA polymerase II, RNA polymerase II cis-regulatory region sequence-specific DNA binding, transcription cis-regulatory region binding, xylem and phloem pattern formation, xylem development"
"Chir06Ox-b35280.2",9.36509033541723e-85,0.441410444873798,0.727,0.412,1.67466545377931e-80,"AT5G03680","Yes","Trihelix","PTL","DNA binding, DNA-binding transcription factor activity, establishment of petal orientation, kinase binding, negative regulation of organ growth, nucleus, perianth development, petal development, protein homodimerization activity, regulation of DNA-templated transcription, regulation of flower development, sepal development, transcription cis-regulatory region binding"
"Chir01Ox-b16570.2",2.02048756075976e-175,1.80543094820502,0.91,0.437,3.61303585615059e-171,"AT1G16530","Yes","LBD","LBD3","cell differentiation, nucleus, root morphogenesis, tissue development, transcription cis-regulatory region binding"
"Chir07Ox-b30120.2",6.27502123208153e-68,0.530156896981049,0.757,0.44,1.12209929672082e-63,"AT4G32800","Yes","ERF","AT4G32800.1","carboxylic acid metabolic process, cellular response to oxygen-containing compound, defense response to other organism, DNA-binding transcription factor activity, glucosinolate metabolic process, hormone-mediated signaling pathway, nucleus, regulation of DNA-templated transcription, response to fungus, response to jasmonic acid, response to wounding, transcription cis-regulatory region binding"
"Chir02Ox-b23540.2",3.03251599226475e-96,0.541676725257759,0.76,0.443,5.42274509736783e-92,"AT1G76420","Yes","NAC","NAC368","DNA-binding transcription factor activity, meristem initiation, nucleus, organ boundary specification between lateral organs and the meristem, protein binding, regulation of DNA-templated transcription, transcription cis-regulatory region binding"
"Chir01Ox-b36290.2",4.71187935308547e-148,0.919009034312932,0.885,0.567,8.42578265918744e-144,"AT1G47655","Yes","Dof","AT1G47655.1","DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription"
