"gene_ID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","AT_ID","TF","TF_family","Gene_code_name","Gene_functions"
"Chir08Ox-b04810.2",1.69866955501018e-253,0.263635140046928,0.722,0.045,3.0375608982692e-249,"AT4G04450","Yes","WRKY","WRKY42","DNA binding, DNA-binding transcription factor activity, negative regulation of DNA-templated transcription, nucleus, positive regulation of leaf senescence, protein binding, regulation of DNA-templated transcription, sequence-specific DNA binding, transcription cis-regulatory region binding"
"Chir04Ox-b01540.2",1.99048486820257e-20,0.279682172462339,0.649,0.284,3.55938504131984e-16,"AT2G22200","Yes","ERF","ERF56","carbohydrate derivative metabolic process, carboxylic acid biosynthetic process, cellular response to oxygen-containing compound, defense response to other organism, DNA-binding transcription factor activity, hormone-mediated signaling pathway, nucleus, regulation of DNA-templated transcription, response to abscisic acid, response to inorganic substance, response to jasmonic acid, response to lipid, response to wounding, sequence-specific DNA binding, sulfur compound metabolic process, tryptophan metabolic process"
"Chir01Ox-b08370.2",1.74317094735051e-37,1.26082859755469,0.715,0.287,3.11713828805218e-33,"AT1G08810","Yes","MYB","AtMYB60","DNA-binding transcription factor activity, negative regulation of response to water deprivation, nucleus, response to abscisic acid, response to absence of light, response to auxin, response to blue light, response to cold, response to light stimulus, response to salt, response to sucrose, response to UV, response to water deprivation, stomatal movement, transcription cis-regulatory region binding"
"Chir03Ox-b24280.2",2.61189730403926e-47,1.83945144324519,0.755,0.29,4.670594759083e-43,"AT3G24140","Yes","bHLH","FMA","DNA-binding transcription factor activity, guard cell differentiation, guard cell fate commitment, guard mother cell differentiation, negative regulation of cell division, negative regulation of histone H3-K27 methylation, nucleus, positive regulation of cell differentiation, positive regulation of DNA-templated transcription, protein binding, protein dimerization activity, response to low humidity, stomatal complex development"
"Chir03Ox-b05620.2",4.06120523460187e-48,3.31860873688059,0.755,0.296,7.26224720051507e-44,"AT3G06120","Yes","bHLH","MUTE","DNA-binding transcription factor activity, epidermal cell differentiation, guard cell differentiation, nucleus, positive regulation of DNA-templated transcription, protein dimerization activity, stomatal complex development, transcription cis-regulatory region binding"
"Chir05Ox-b23410.2",1.45669115385149e-69,1.16770401185558,0.808,0.298,2.60485512131723e-65,"AT3G57600","Yes","ERF","F15B8.210","DNA-binding transcription factor activity, nucleus, positive regulation of DNA-templated transcription, protein binding, response to stress, transcription cis-regulatory region binding"
"Chir04Ox-b02220.2",2.57708739818769e-44,0.474298070585781,0.781,0.4,4.60834768543923e-40,"AT2G22800","Yes","HD-ZIP","HAT9","defense response to other organism, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleus, pigment metabolic process, protein binding, response to red or far red light, sequence-specific DNA binding"
"Chir05Ox-b01380.2",6.62080629261601e-38,1.14916832348481,0.808,0.413,1.1839325812456e-33,"AT2G02450","Yes","NAC","ANAC034","developmental growth, DNA-binding transcription factor activity, nucleus, plastid organization, regulation of DNA-templated transcription, response to light stimulus, response to salicylic acid, response to wounding"
"Chir01Ox-b38500.2",1.32313036142459e-41,0.56821861487363,0.828,0.415,2.36602171229945e-37,"AT1G49560","Yes","G2-like","HHO6","DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription, transcription cis-regulatory region binding"
"Chir08Ox-b14990.2",3.46688041375259e-25,0.591566779612146,0.748,0.434,6.19947555587238e-21,"AT5G53210","Yes","bHLH","SPCH","cytoplasm, DNA-binding transcription activator activity, DNA-binding transcription factor activity, guard cell differentiation, nucleus, positive regulation of DNA-templated transcription, protein binding, protein dimerization activity, regulation of DNA-templated transcription, regulation of response to osmotic stress, regulation of stomatal complex development, response to low humidity, response to osmotic stress, stomatal complex development"
