"gene_ID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","AT_ID","TF","TF_family","Gene_code_name","Gene_functions"
"Chir02Ox-b16250.2",0,0.259324710258583,0.702,0.492,0,"AT1G69770",NA,NA,"CMT3","chromatin binding, DNA (cytosine-5-)-methyltransferase activity, DNA methylation, DNA methylation on cytosine within a CNG sequence, histone H3-K9 methylation, negative regulation of gene expression, epigenetic, nucleus, ubiquitin protein ligase binding, zygote asymmetric cytokinesis in embryo sac"
"Chir03Ox-b07430.2",0,0.437990951553645,0.765,0.555,0,"AT3G07800",NA,NA,"TK1a","cytoplasm, double-strand break repair, identical protein binding, response to UV-C, thymidine kinase activity, thymidine metabolic process"
"Chir06Ox-b06770.2",0,0.318739386486734,0.691,0.556,0,"AT5G43080",NA,NA,"CYCA3;1","cyclin-dependent protein kinase holoenzyme complex, cyclin-dependent protein serine/threonine kinase regulator activity, cytoplasm, mitochondrion, mitotic cell cycle phase transition, nucleus, protein binding, regulation of cyclin-dependent protein serine/threonine kinase activity"
"Chir06Ox-b26540.2",7.05103777053405e-272,0.258897189090248,0.754,0.561,1.2608665741269e-267,"AT5G12930",NA,NA,"T24H18.90","cellular response to organic substance, defense response to bacterium, defense response to fungus, growth, immune system process, indole-containing compound metabolic process, molecular_function, nucleus, plant epidermis development, regulation of defense response, response to nitrogen compound, response to organic cyclic compound, response to oxidative stress, secondary metabolic process, signal transduction, sulfur compound metabolic process"
"Chir02Ox-b27790.2",0,0.294943505484747,0.761,0.566,0,"AT1G80190",NA,NA,"PSF1","DNA replication initiation, DNA strand elongation involved in mitotic DNA replication, GINS complex, nucleus"
"Chir04Ox-b21230.2",0,0.325274048668633,0.78,0.575,0,"AT2G38720",NA,NA,"MAP65-5","cortical microtubule, cytoplasm, microtubule, microtubule binding, microtubule cytoskeleton organization, microtubule polymerization, phragmoplast, plasmodesma, preprophase band, spindle"
"Chir05Ox-b10730.2",0,0.276550690610142,0.782,0.583,0,NA,NA,NA,NA,NA
"Chir02Ox-b15590.2",9.50583730662638e-09,0.280215197076917,0.625,0.586,0.000169983382717093,"AT1G69180","Yes","YABBY","CRC","carpel development, cell fate commitment, DNA-binding transcription factor activity, floral meristem determinacy, leaf development, nectary development, nucleus, polarity specification of adaxial/abaxial axis, protein binding, regulation of DNA-templated transcription, sequence-specific DNA binding, style development, transcription cis-regulatory region binding"
"Chir07Ox-b35640.2",2.46810196124746e-223,0.287262070065668,0.78,0.589,4.4134599271027e-219,"AT4G40042",NA,NA,NA,"carboxylic acid metabolic process, molecular_function, protein targeting to ER, signal peptidase complex, signal peptide processing"
"Chir05Ox-b03710.2",1.6694255473702e-155,0.32482405922468,0.713,0.6,2.9852667638074e-151,NA,NA,NA,NA,NA
"Chir03Ox-b23910.2",2.33441374907632e-53,0.468583595169097,0.67,0.602,4.17439866609828e-49,"AT3G23730",NA,NA,"XTH16","cell wall biogenesis, extracellular region, hydrolase activity, hydrolyzing O-glycosyl compounds, polysaccharide binding, xyloglucan metabolic process, xyloglucan:xyloglucosyl transferase activity"
"Chir01Ox-b25290.2",4.80694922901852e-172,0.26873731708403,0.766,0.608,8.59578661133092e-168,"AT1G25440","Yes","CO-like","BBX15","DNA-binding transcription factor activity, nucleus, protein binding, regulation of DNA-templated transcription, zinc ion binding"
"Chir05Ox-b13040.2",0,0.257010376055343,0.743,0.61,0,"AT3G48160","Yes","E2F/DP","DEL1","DNA binding, DNA endoreduplication, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, negative regulation of DNA endoreduplication, nucleus, protein binding, regulation of transcription by RNA polymerase II, RNA polymerase II cis-regulatory region sequence-specific DNA binding, RNA polymerase II transcription regulator complex"
"Chir03Ox-b25540.2",0,0.32552455255847,0.788,0.629,0,"AT3G25100",NA,NA,"CDC45","chromatin binding, DNA replication initiation, DNA replication origin binding, DNA replication preinitiation complex, double-strand break repair via break-induced replication, gametophyte development, mitotic DNA replication preinitiation complex assembly, premeiotic DNA replication, single-stranded DNA binding"
"Chir07Ox-b17640.2",0,0.414892760060003,0.784,0.63,0,"AT4G21070",NA,NA,"ATBRCA1","BRCA1-A complex, BRCA1-BARD1 complex, cellular response to gamma radiation, DNA recombination, DNA repair, double-strand break repair via homologous recombination, negative regulation of fatty acid biosynthetic process, negative regulation of histone acetylation, nucleus, plasma membrane, positive regulation of histone acetylation, positive regulation of transcription by RNA polymerase II, protein binding, response to gamma radiation, ubiquitin-protein transferase activity"
"Chir06Ox-b18240.2",0,0.429232178692492,0.787,0.632,0,"AT5G20850",NA,NA,"ATRAD51","ATP-dependent activity, acting on DNA, chromosome, chromosome organization involved in meiotic cell cycle, condensed nuclear chromosome, DNA metabolic process, DNA recombinase assembly, DNA strand exchange activity, double-strand break repair, double-strand break repair via homologous recombination, double-strand break repair via synthesis-dependent strand annealing, double-stranded DNA binding, mitotic recombination, mitotic recombination-dependent replication fork processing, nucleus, protein binding, reciprocal meiotic recombination, regulation of DNA-templated transcription, response to gamma radiation, response to radiation, single-stranded DNA binding, strand invasion"
"Chir01Ox-b35900.2",0,1.23572190265484,0.832,0.637,0,"AT1G47210",NA,NA,"CYCA3;2","cyclin-dependent protein kinase holoenzyme complex, cyclin-dependent protein serine/threonine kinase regulator activity, cytoplasm, mitotic cell cycle phase transition, nucleus, regulation of cyclin-dependent protein serine/threonine kinase activity"
"Chir02Ox-b11720.2",0,0.76128597672201,0.906,0.637,0,"AT1G57820",NA,NA,"VIM1","cell division, chromatin binding, chromatin organization, chromocenter, DNA methylation on cytosine, DNA methylation on cytosine within a CG sequence, double-stranded methylated DNA binding, histone binding, maintenance of DNA methylation, methyl-CpG binding, methyl-CpNpG binding, methyl-CpNpN binding, nucleus, pericentric heterochromatin formation, positive regulation of DNA methylation-dependent heterochromatin formation, ubiquitin protein ligase activity, ubiquitin-protein transferase activity"
"Chir03Ox-b14360.2",0,0.63602283713824,0.772,0.642,0,"AT3G14740",NA,NA,"MIE1.25","cellular_component, molecular_function, nucleus, regulation of transcription by RNA polymerase II"
"Chir06Ox-b26430.2",0,0.69561797024678,0.802,0.642,0,"AT5G13060",NA,NA,"AT5G13060.1","chloroplast, DNA replication preinitiation complex, DNA-templated DNA replication, negative regulation of cell population proliferation, negative regulation of DNA-templated DNA replication, nucleus, protein binding, regulation of cell population proliferation"
"Chir01Ox-b06770.2",0,0.368326863769917,0.817,0.644,0,"AT1G07370",NA,NA,"ATPCNA1","cytoplasm, cytosol, DNA polymerase processivity factor activity, leading strand elongation, mismatch repair, nucleolus, nucleus, PCNA complex, protein binding, regulation of cell cycle, regulation of DNA replication, translesion synthesis"
"Chir04Ox-b11370.2",8.55882997723146e-82,0.266981287472377,0.72,0.646,1.53048997652853e-77,"AT2G29680",NA,NA,"CDC6","DNA endoreduplication, DNA replication initiation, DNA replication origin binding, mitotic DNA replication checkpoint signaling, nucleus, protein binding"
"Chir01Ox-b10590.2",0,0.314273278966773,0.864,0.648,0,"AT1G10780",NA,NA,"AT1G10780.1","nucleus, plasmodesma, positive regulation of cellular process, protein binding, regulation of signal transduction"
"Chir02Ox-b09540.2",0,0.261662928558206,0.852,0.649,0,"AT1G54385",NA,NA,"SINE1","actin binding, nuclear envelope, nuclear migration, nucleus, protein binding, SMN complex, spliceosomal snRNP assembly"
"Chir05Ox-b17250.2",0,0.291328296891466,0.858,0.653,0,"AT3G51870",NA,NA,"ATEM1.12","ATP transmembrane transporter activity, chloroplast, chloroplast envelope, response to nematode, thylakoid membrane, transmembrane transport"
"Chir02Ox-b23040.2",0,1.14275376568821,0.949,0.654,0,NA,NA,NA,NA,NA
"Chir05Ox-b23660.2",0,0.369823211008956,0.841,0.659,0,"AT3G57860",NA,NA,"OSD1","endomitotic cell cycle, endosperm development, megagametogenesis, meiosis I, meiosis II, negative regulation of ubiquitin protein ligase activity, nucleus, positive regulation of defense response to bacterium, protein binding, regulation of meiotic nuclear division, regulation of mitotic nuclear division"
"Chir08Ox-b23470.2",0,0.91146829992804,0.831,0.661,0,"AT5G61000",NA,NA,"RPA70D","damaged DNA binding, DNA replication factor A complex, DNA unwinding involved in DNA replication, double-strand break repair via homologous recombination, meiotic cell cycle, nucleotide-excision repair, nucleus, single-stranded telomeric DNA binding, telomere maintenance via telomerase"
"Chir08Ox-b28580.2",1.42600482517215e-277,0.281265262021113,0.852,0.679,2.54998182837284e-273,"AT5G65890",NA,NA,"ACR1","amino acid binding, carbohydrate derivative metabolic process, carboxylic acid metabolic process, cellular response to lipid, cellular response to oxygen-containing compound, developmental growth, nucleus, pigment metabolic process, porphyrin-containing compound biosynthetic process, protein-containing complex assembly, response to light intensity, response to red or far red light, response to water, secondary metabolic process, signal transduction"
"Chir07Ox-b24080.2",2.76107913043266e-43,0.302924136273368,0.718,0.683,4.93736170103968e-39,"AT4G26960",NA,NA,"F10M23.300","macromolecule catabolic process, meiotic cell cycle process, molecular_function, nucleus"
"Chir06Ox-b10980.2",1.31434981767178e-11,0.276825279754726,0.723,0.685,2.35032034396068e-07,"AT5G49300","Yes","GATA","AT5G49300.1","DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription, response to jasmonic acid, response to wounding, small molecule metabolic process, transcription cis-regulatory region binding, zinc ion binding"
"Chir04Ox-b25010.2",0,0.90284725097865,0.95,0.688,0,"AT2G42260",NA,NA,"PYM","DNA endoreduplication, endosperm development, megagametogenesis, negative regulation of ubiquitin protein ligase activity, nucleus, positive regulation of defense response to bacterium, protein binding, regulation of nuclear division, response to UV-B, trichome branching"
"Chir05Ox-b20230.2",0,0.568541612957632,0.942,0.688,0,"AT3G54750",NA,NA,"T5N23.110","molecular_function, negative regulation of cellular process, nuclear DNA replication, nucleus"
"Chir01Ox-b03130.2",2.39974753551956e-221,0.670931755950062,0.8,0.692,4.29122854301608e-217,"AT1G04020",NA,NA,"ATBARD1","BRCA1-A complex, BRCA1-BARD1 complex, DNA binding, DNA repair, double-strand break repair via homologous recombination, leaf development, negative regulation of fatty acid biosynthetic process, negative regulation of histone acetylation, nucleus, plasma membrane, positive regulation of histone acetylation, positive regulation of transcription by RNA polymerase II, regulation of meristem structural organization, ubiquitin-protein transferase activity"
"Chir03Ox-b12200.2",8.27065876860361e-284,0.288113066003374,0.846,0.695,1.4789592010017e-279,"AT3G13000",NA,NA,"AT3G13000.1","DNA-binding transcription factor activity, nucleus, plant-type vacuole, regulation of DNA-templated transcription"
"Chir06Ox-b22130.2",1.79438742896646e-67,0.340677167422419,0.745,0.699,3.20872360047783e-63,"AT5G17220",NA,NA,"ATGSTF12","anthocyanin-containing compound metabolic process, cation binding, cytoplasm, glutathione binding, glutathione transferase activity, nucleus, plant-type vacuole membrane, regulation of flavonol biosynthetic process, toxin catabolic process"
"Chir01Ox-b00900.2",0,0.541290233822804,0.917,0.702,0,"AT1G01370",NA,NA,"HTR12","cell division, centromere complex assembly, chromatin, chromosome, centromeric region, double fertilization forming a zygote and endosperm, meiotic cell cycle, meiotic chromosome separation, nucleus, protein binding, protein heterodimerization activity, structural constituent of chromatin"
"Chir07Ox-b10210.2",0,0.468121468467336,0.928,0.704,0,"AT4G14310",NA,NA,"AT4G14310.1","cell cycle phase transition, cell division, cell wall organization or biogenesis, cellular component assembly, chloroplast organization, cytokinesis by cell plate formation, cytoskeleton-dependent cytokinesis, DNA-templated DNA replication, embryo development ending in seed dormancy, gametophyte development, meiotic nuclear division, mitotic cell cycle, negative regulation of cellular process, nucleus, plant-type cell wall, protein binding, regulation of cell cycle process, regulation of organelle organization, tissue development"
"Chir01Ox-b15670.2",0,0.314416306385945,0.881,0.705,0,"AT1G15570",NA,NA,"CYCA2;3","cell cycle G2/M phase transition, cyclin-dependent protein kinase holoenzyme complex, cyclin-dependent protein serine/threonine kinase regulator activity, cytoplasm, DNA endoreduplication, guard mother cell differentiation, lateral root formation, mitotic cell cycle phase transition, nucleus, positive regulation of stomatal complex development, protein binding, regulation of cyclin-dependent protein serine/threonine kinase activity, regulation of G2/M transition of mitotic cell cycle"
"Chir02Ox-b09430.2",1.93111450401977e-214,0.258326759717728,0.864,0.705,3.45321895608815e-210,"AT1G64770",NA,NA,"NDF2","carbohydrate binding, carbohydrate metabolic process, catalytic activity, chloroplast, chloroplast thylakoid, chloroplast thylakoid membrane, cytoplasm, glucose-6-phosphate 1-epimerase activity, NAD(P)H dehydrogenase complex (plastoquinone), nucleus, photosynthetic electron transport in photosystem I"
"Chir04Ox-b14490.2",0,0.306099752787264,0.906,0.709,0,"AT2G32590",NA,NA,"EMB2795","chromatin binding, condensed chromosome, condensin complex, cytoplasm, mitotic chromosome condensation, nucleus"
"Chir01Ox-b08430.2",0,1.6715972531964,0.972,0.71,0,"AT1G08880",NA,NA,"HTA5","DNA binding, extracellular region, nucleus, protein heterodimerization activity, structural constituent of chromatin"
"Chir06Ox-b23350.2",0,0.511788108534186,0.884,0.71,0,"AT5G16030",NA,NA,"F1N13.170","mitochondrion, molecular_function, nucleus, porphyrin-containing compound metabolic process, protein-containing complex assembly, response to bacterium, response to light intensity, response to red or far red light"
"Chir02Ox-b10310.2",0,0.776981993298916,0.892,0.714,0,"AT1G67780",NA,NA,"DDR3","ISWI-type complex, nucleus, protein binding, regulation of DNA-templated transcription, tissue development"
"Chir08Ox-b28040.2",0,1.52993557557899,0.902,0.714,0,NA,NA,NA,NA,NA
"Chir02Ox-b12620.2",1.64208200857879e-203,0.255944507640045,0.848,0.715,2.93637104774059e-199,"AT1G66740",NA,NA,"AtSP7","cell division, cytoplasm, DNA replication-dependent chromatin assembly, double-strand break repair via homologous recombination, histone binding, mitotic cell size control checkpoint signaling, nucleolus, nucleus, protein binding, rDNA protrusion, regulation of cell size, structural constituent of chromatin, trichome branching"
"Chir01Ox-b09060.2",0,0.321133612591164,0.871,0.72,0,"AT1G09470",NA,NA,"AT1G09470.1","cellular component biogenesis, cytoplasm, nuclear envelope, nucleoplasm, protein binding, protein self-association, stomatal complex development"
"Chir06Ox-b22280.2",2.6779635962558e-75,0.385398671060998,0.785,0.72,4.78873450282462e-71,"AT5G17050",NA,NA,"AT5G17050.1","anthocyanidin 3-O-glucosyltransferase activity, chloroplast, daphnetin 3-O-glucosyltransferase activity, flavonol 3-O-glucosyltransferase activity, glycosyltransferase activity, myricetin 3-O-glucosyltransferase activity, quercetin 3-O-glucosyltransferase activity, UDP-glucosyltransferase activity"
"Chir04Ox-b16600.2",4.46998045500322e-199,0.447717285134948,0.862,0.724,7.99321904963676e-195,"AT2G34430",NA,NA,"LHB1B1","chlorophyll binding, chloroplast, chloroplast envelope, chloroplast thylakoid, chloroplast thylakoid membrane, endoplasmic reticulum, photosynthesis, photosynthesis, light harvesting in photosystem I, photosynthesis, light harvesting in photosystem II, response to light stimulus, thylakoid, thylakoid membrane"
"Chir06Ox-b30980.2",2.02933543487833e-207,0.310072764261157,0.818,0.726,3.62885762464944e-203,"AT5G08020",NA,NA,"ATRPA70B","damaged DNA binding, DNA repair, DNA replication factor A complex, DNA unwinding involved in DNA replication, double-strand break repair via homologous recombination, meiotic cell cycle, nucleotide-excision repair, nucleus, response to UV-B, single-stranded telomeric DNA binding, telomere maintenance via telomerase"
