"","gene_ID","AT_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","coefficient","rank","p_val","p_val_adj","TF","TF_family","Gene_functions","source"
"Chir05Ox-b18300.2","Chir05Ox-b18300.2","AT3G52770","ZPR3",0.250661251883071,0.225,0.072,0.587073446546343,4,2.12308452985159e-177,4.17398418568822e-173,NA,NA,"adaxial/abaxial axis specification, leaf shaping, leaf vascular tissue pattern formation, meristem maintenance, negative regulation of DNA-binding transcription factor activity, nucleus, protein binding, regulation of meristem growth","GEP_43"
"Chir03Ox-b33620.2","Chir03Ox-b33620.2","AT2G18969","HLH3",0.386324504902966,0.343,0.086,0.461528432013628,7,0,0,NA,NA,"molecular_function, nucleus, regulation of DNA-templated transcription","GEP_43"
"Chir07Ox-b23230.2","Chir07Ox-b23230.2","AT4G26150","GATA22",0.295067930258705,0.369,0.131,0.644571718015825,3,1.14515653995272e-278,2.25137775754705e-274,"Yes","GATA","chloroplast elongation, chloroplast organization, circadian rhythm, cytokinin-activated signaling pathway, DNA-binding transcription factor activity, gibberellic acid mediated signaling pathway, negative regulation of flower development, negative regulation of gibberellic acid mediated signaling pathway, negative regulation of seed germination, nucleus, plant organ senescence, positive regulation of chlorophyll biosynthetic process, protein binding, regulation of carbohydrate utilization, regulation of chlorophyll biosynthetic process, regulation of DNA-templated transcription, regulation of gene expression, regulation of photoperiodism, flowering, regulation of seed development, regulation of seed germination, response to auxin, response to cytokinin, response to gibberellin, response to light stimulus, response to nitrate, response to red light, transcription cis-regulatory region binding, zinc ion binding","GEP_43"
"Chir01Ox-b12050.2","Chir01Ox-b12050.2","AT1G12090","ELP",0.70865174053217,0.454,0.186,0.46560028288735,6,1.63953988599271e-272,3.22333541586167e-268,NA,NA,"biological_process, cellular_component, molecular_function","GEP_43"
"Chir01Ox-b14670.2","Chir01Ox-b14670.2","AT1G14600","AT1G14600.1",0.34617967990127,0.493,0.191,0.45856190466526,8,0,0,"Yes","G2-like","DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription","GEP_43"
"Chir01Ox-b05100.2","Chir01Ox-b05100.2","AT1G05835",NA,0.723235389668114,0.656,0.307,0.390376908409838,12,0,0,NA,NA,"cell fate determination, cellular_component, molecular_function, plant-type cell wall organization or biogenesis, tissue development","GEP_43"
"Chir01Ox-b12060.2","Chir01Ox-b12060.2","AT1G12100","AT1G12100.1",0.390268986276773,0.618,0.335,0.315605713137456,15,6.05098890365949e-185,1.18962441845946e-180,NA,NA,"cellular developmental process, extracellular region, organelle organization, seed development, small molecule metabolic process","GEP_43"
"Chir03Ox-b00610.2","Chir03Ox-b00610.2","AT3G01500","CA1",1.55782794864009,0.672,0.351,0.398299323286424,10,0,0,NA,NA,"apoplast, carbon utilization, carbonate dehydratase activity, chloroplast, chloroplast envelope, chloroplast stroma, chloroplast thylakoid membrane, cytoplasm, cytosol, mRNA binding, negative regulation of stomatal complex development, photosynthesis, plasma membrane, regulation of stomatal movement, response to carbon dioxide, response to cold, stromule, thylakoid, zinc ion binding","GEP_43"
"Chir06Ox-b11160.2","Chir06Ox-b11160.2","AT5G49450","AtbZIP1",0.362689198332392,0.65,0.38,0.249481330046632,22,5.15638980294044e-192,1.01374623525809e-187,"Yes","bZIP","anther dehiscence, cellular response to glucose stimulus, cellular response to starvation, DNA-binding transcription factor activity, nucleus, positive regulation of DNA-templated transcription, protein binding, protein heterodimerization activity, regulation of cellular amino acid metabolic process, response to bacterium, response to osmotic stress, response to salt stress, sequence-specific DNA binding, sugar mediated signaling pathway, transcription cis-regulatory region binding","GEP_43"
"Chir08Ox-b02870.2","Chir08Ox-b02870.2","AT4G02700","SULTR3;2",0.469088195775932,0.678,0.432,0.322911102399409,14,9.1003813236794e-160,1.78913496823537e-155,NA,NA,"chloroplast, secondary active sulfate transmembrane transporter activity, sulfate transmembrane transporter activity","GEP_43"
