"gene_ID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","AT_ID","TF","TF_family","Gene_code_name","Gene_functions"
"Chir06Ox-b06770.2",0,0.260780751751355,0.265,0.042,0,"AT5G43080",NA,NA,"CYCA3;1","cyclin-dependent protein kinase holoenzyme complex, cyclin-dependent protein serine/threonine kinase regulator activity, cytoplasm, mitochondrion, mitotic cell cycle phase transition, nucleus, protein binding, regulation of cyclin-dependent protein serine/threonine kinase activity"
"Chir04Ox-b21230.2",0,0.290628867112039,0.431,0.083,0,"AT2G38720",NA,NA,"MAP65-5","cortical microtubule, cytoplasm, microtubule, microtubule binding, microtubule cytoskeleton organization, microtubule polymerization, phragmoplast, plasmodesma, preprophase band, spindle"
"Chir03Ox-b14360.2",0,0.499086148840363,0.366,0.097,0,"AT3G14740",NA,NA,"MIE1.25","cellular_component, molecular_function, nucleus, regulation of transcription by RNA polymerase II"
"Chir07Ox-b17640.2",0,0.427323761353084,0.551,0.15,0,"AT4G21070",NA,NA,"ATBRCA1","BRCA1-A complex, BRCA1-BARD1 complex, cellular response to gamma radiation, DNA recombination, DNA repair, double-strand break repair via homologous recombination, negative regulation of fatty acid biosynthetic process, negative regulation of histone acetylation, nucleus, plasma membrane, positive regulation of histone acetylation, positive regulation of transcription by RNA polymerase II, protein binding, response to gamma radiation, ubiquitin-protein transferase activity"
"Chir08Ox-b23470.2",0,0.805946998124627,0.521,0.15,0,"AT5G61000",NA,NA,"RPA70D","damaged DNA binding, DNA replication factor A complex, DNA unwinding involved in DNA replication, double-strand break repair via homologous recombination, meiotic cell cycle, nucleotide-excision repair, nucleus, single-stranded telomeric DNA binding, telomere maintenance via telomerase"
"Chir06Ox-b26430.2",0,0.628720376034879,0.497,0.155,0,"AT5G13060",NA,NA,"AT5G13060.1","chloroplast, DNA replication preinitiation complex, DNA-templated DNA replication, negative regulation of cell population proliferation, negative regulation of DNA-templated DNA replication, nucleus, protein binding, regulation of cell population proliferation"
"Chir01Ox-b35900.2",0,1.22702123836426,0.629,0.185,0,"AT1G47210",NA,NA,"CYCA3;2","cyclin-dependent protein kinase holoenzyme complex, cyclin-dependent protein serine/threonine kinase regulator activity, cytoplasm, mitotic cell cycle phase transition, nucleus, regulation of cyclin-dependent protein serine/threonine kinase activity"
"Chir01Ox-b06770.2",0,0.312488224887231,0.499,0.194,0,"AT1G07370",NA,NA,"ATPCNA1","cytoplasm, cytosol, DNA polymerase processivity factor activity, leading strand elongation, mismatch repair, nucleolus, nucleus, PCNA complex, protein binding, regulation of cell cycle, regulation of DNA replication, translesion synthesis"
"Chir08Ox-b28040.2",0,1.46306828015042,0.65,0.195,0,NA,NA,NA,NA,NA
"Chir02Ox-b27790.2",0,0.306391219543742,0.538,0.213,0,"AT1G80190",NA,NA,"PSF1","DNA replication initiation, DNA strand elongation involved in mitotic DNA replication, GINS complex, nucleus"
"Chir02Ox-b10310.2",0,0.710149683735163,0.659,0.219,0,"AT1G67780",NA,NA,"DDR3","ISWI-type complex, nucleus, protein binding, regulation of DNA-templated transcription, tissue development"
"Chir02Ox-b11720.2",0,0.723349638920874,0.739,0.237,0,"AT1G57820",NA,NA,"VIM1","cell division, chromatin binding, chromatin organization, chromocenter, DNA methylation on cytosine, DNA methylation on cytosine within a CG sequence, double-stranded methylated DNA binding, histone binding, maintenance of DNA methylation, methyl-CpG binding, methyl-CpNpG binding, methyl-CpNpN binding, nucleus, pericentric heterochromatin formation, positive regulation of DNA methylation-dependent heterochromatin formation, ubiquitin protein ligase activity, ubiquitin-protein transferase activity"
"Chir06Ox-b18240.2",0,0.486540734914833,0.676,0.254,0,"AT5G20850",NA,NA,"ATRAD51","ATP-dependent activity, acting on DNA, chromosome, chromosome organization involved in meiotic cell cycle, condensed nuclear chromosome, DNA metabolic process, DNA recombinase assembly, DNA strand exchange activity, double-strand break repair, double-strand break repair via homologous recombination, double-strand break repair via synthesis-dependent strand annealing, double-stranded DNA binding, mitotic recombination, mitotic recombination-dependent replication fork processing, nucleus, protein binding, reciprocal meiotic recombination, regulation of DNA-templated transcription, response to gamma radiation, response to radiation, single-stranded DNA binding, strand invasion"
"Chir04Ox-b25010.2",0,0.800459519677009,0.775,0.268,0,"AT2G42260",NA,NA,"PYM","DNA endoreduplication, endosperm development, megagametogenesis, negative regulation of ubiquitin protein ligase activity, nucleus, positive regulation of defense response to bacterium, protein binding, regulation of nuclear division, response to UV-B, trichome branching"
"Chir07Ox-b10210.2",0,0.318988213426829,0.667,0.269,0,"AT4G14310",NA,NA,"AT4G14310.1","cell cycle phase transition, cell division, cell wall organization or biogenesis, cellular component assembly, chloroplast organization, cytokinesis by cell plate formation, cytoskeleton-dependent cytokinesis, DNA-templated DNA replication, embryo development ending in seed dormancy, gametophyte development, meiotic nuclear division, mitotic cell cycle, negative regulation of cellular process, nucleus, plant-type cell wall, protein binding, regulation of cell cycle process, regulation of organelle organization, tissue development"
"Chir05Ox-b17250.2",0,0.272615844680038,0.622,0.299,0,"AT3G51870",NA,NA,"ATEM1.12","ATP transmembrane transporter activity, chloroplast, chloroplast envelope, response to nematode, thylakoid membrane, transmembrane transport"
"Chir02Ox-b23040.2",0,1.24737319691561,0.878,0.301,0,NA,NA,NA,NA,NA
"Chir01Ox-b15040.2",0,0.705427412173612,0.715,0.32,0,"AT1G14900",NA,NA,"HMGA","chloroplast, chromatin, cytosol, DNA binding, double-stranded DNA binding, negative regulation of DNA recombination, nucleolus, nucleosomal DNA binding, nucleosome, nucleosome assembly, nucleus, regulation of DNA-templated transcription"
"Chir04Ox-b10410.2",0,2.46548634994981,0.91,0.324,0,NA,NA,NA,NA,NA
"Chir05Ox-b11100.2",0,2.14863115909192,0.919,0.353,0,NA,NA,NA,NA,NA
"Chir01Ox-b36420.2",0,0.545943052384994,0.821,0.354,0,"AT5G48600",NA,NA,"ATSMC3","ATP binding, ATP hydrolysis activity, chromosome, embryo development ending in seed dormancy, mitotic chromosome condensation, mitotic sister chromatid segregation, nucleus"
"Chir01Ox-b00900.2",0,0.504447877377078,0.778,0.356,0,"AT1G01370",NA,NA,"HTR12","cell division, centromere complex assembly, chromatin, chromosome, centromeric region, double fertilization forming a zygote and endosperm, meiotic cell cycle, meiotic chromosome separation, nucleus, protein binding, protein heterodimerization activity, structural constituent of chromatin"
"Chir08Ox-b22280.2",0,1.98964620722223,0.908,0.361,0,"AT5G59870",NA,NA,"HTA6","chromatin binding, DNA binding, heterochromatin, heterochromatin organization, nucleolus, nucleus, pericentric heterochromatin, plasmodesma, plastid, protein heterodimerization activity, structural constituent of chromatin"
"Chir05Ox-b20230.2",0,0.50677351539632,0.805,0.392,0,"AT3G54750",NA,NA,"T5N23.110","molecular_function, negative regulation of cellular process, nuclear DNA replication, nucleus"
"Chir01Ox-b08780.2",0,2.61625641071565,0.932,0.396,0,NA,NA,NA,NA,NA
"Chir01Ox-b11230.2",0,0.735750545216815,0.871,0.411,0,"AT1G80740",NA,NA,"CMT1","chromatin binding, DNA (cytosine-5-)-methyltransferase activity, DNA-mediated transformation, nucleus"
"Chir06Ox-b16310.2",0,1.01523695863294,0.819,0.419,0,"AT5G23420",NA,NA,"HMGB6","DNA binding, DNA-binding transcription factor activity, karyogamy, nucleus, polar nucleus fusion"
"Chir01Ox-b08430.2",0,1.56585363933893,0.904,0.426,0,"AT1G08880",NA,NA,"HTA5","DNA binding, extracellular region, nucleus, protein heterodimerization activity, structural constituent of chromatin"
"Chir05Ox-b19240.2",0,2.30729485390304,0.929,0.427,0,NA,NA,NA,NA,NA
"Chir04Ox-b21360.2",0,1.15465977831845,0.876,0.436,0,"AT2G38810",NA,NA,"HTA8","DNA binding, nucleolus, nucleus, protein heterodimerization activity, regulation of DNA methylation, regulation of flower development, regulation of gene expression, structural constituent of chromatin"
"Chir03Ox-b20700.2",0,2.27659180159054,0.933,0.441,0,"AT3G20670",NA,NA,"HTA13","cytosol, DNA binding, nucleus, protein heterodimerization activity, structural constituent of chromatin"
"Chir08Ox-b28050.2",0,2.59814202218997,0.934,0.441,0,"AT1G09200",NA,NA,"HTR2","chromosome organization, DNA replication, extracellular region, gametophyte development, negative regulation of cellular process, nucleus, regulation of cell cycle"
"Chir03Ox-b17830.2",0,0.467584753175001,0.795,0.462,0,NA,NA,NA,NA,NA
"Chir06Ox-b28880.2",0,2.39514082925698,0.945,0.473,0,NA,NA,NA,NA,NA
"Chir08Ox-b22300.2",0,2.3970389617441,0.938,0.477,0,NA,NA,NA,NA,NA
"Chir02Ox-b09430.2",3.3493378512621e-254,0.307427945289545,0.792,0.479,6.58479821558128e-250,"AT1G64770",NA,NA,"NDF2","carbohydrate binding, carbohydrate metabolic process, catalytic activity, chloroplast, chloroplast thylakoid, chloroplast thylakoid membrane, cytoplasm, glucose-6-phosphate 1-epimerase activity, NAD(P)H dehydrogenase complex (plastoquinone), nucleus, photosynthetic electron transport in photosystem I"
"Chir04Ox-b10370.2",0,1.6243635978515,0.935,0.514,0,"AT2G28720",NA,NA,"HTB3","DNA binding, nucleosome assembly, nucleus, peroxisome, protein heterodimerization activity, structural constituent of chromatin"
"Chir01Ox-b06140.2",0,2.12815855904823,0.941,0.524,0,NA,NA,NA,NA,NA
"Chir05Ox-b20030.2",0,1.68759468039162,0.939,0.525,0,"AT3G54560",NA,NA,"HTA11","defense response to bacterium, detection of temperature stimulus, DNA binding, flower development, negative regulation of DNA-templated transcription, nucleus, protein binding, protein heterodimerization activity, regulation of DNA methylation, regulation of gene expression, response to osmotic stress, structural constituent of chromatin"
"Chir05Ox-b10680.2",0,1.77300216433123,0.929,0.53,0,NA,NA,NA,NA,NA
"Chir06Ox-b16870.2",0,2.48505072366158,0.954,0.549,0,NA,NA,NA,NA,NA
"Chir04Ox-b09790.2",1.90506116200448e-287,0.488807203240521,0.876,0.569,3.74535024450081e-283,NA,NA,NA,NA,NA
"Chir06Ox-b28870.2",0,2.62967713517682,0.966,0.583,0,NA,NA,NA,NA,NA
"Chir04Ox-b12380.2",0,1.71895930271028,0.942,0.594,0,"AT2G30620",NA,NA,"H1.2","double-stranded DNA binding, mitochondrion, negative regulation of DNA recombination, nucleolus, nucleosomal DNA binding, nucleosome, nucleosome assembly, nucleus, structural constituent of chromatin"
"Chir08Ox-b22080.2",0,2.50275872457225,0.973,0.597,0,"AT2G28740",NA,NA,"AT2G28740.1","DNA binding, nucleolus, nucleosome, nucleus, peroxisome, response to water deprivation"
"Chir07Ox-b24380.2",0,1.5617416966574,0.94,0.604,0,"AT4G27230",NA,NA,"HTA2","cytosol, DNA binding, negative regulation of macromolecule metabolic process, negative regulation of metabolic process, nucleus, protein heterodimerization activity, response to light stimulus, structural constituent of chromatin"
"Chir05Ox-b00580.2",0,1.9355121919055,0.958,0.605,0,NA,NA,NA,NA,NA
"Chir05Ox-b10720.2",0,1.33472830770412,0.94,0.605,0,NA,NA,NA,NA,NA
"Chir08Ox-b22340.2",0,2.29197189677999,0.965,0.643,0,"AT5G59910",NA,NA,"HTB4","chloroplast stroma, chloroplast thylakoid, DNA binding, nucleolus, nucleosome assembly, nucleus, plastid, protein heterodimerization activity, structural constituent of chromatin"
