"C.hirsutaOX","A.thaliana.TAIR10"
"Chir01Ox-b00010.2","AT1G02205"
"Chir01Ox-b00020.2","AT1G02190"
"Chir01Ox-b00030.2","AT1G02180"
"Chir01Ox-b00040.2","AT1G02170"
"Chir01Ox-b00050.2","AT1G02160"
"Chir01Ox-b00060.2","AT1G02150"
"Chir01Ox-b00070.2","AT1G02145"
"Chir01Ox-b00080.2","AT1G02140"
"Chir01Ox-b00090.2","AT1G02130"
"Chir01Ox-b00100.2","AT1G02120"
"Chir01Ox-b00110.2","AT1G02110"
"Chir01Ox-b00120.2","AT1G02100"
"Chir01Ox-b00130.2","AT1G02090"
"Chir01Ox-b00140.2","AT1G02080"
"Chir01Ox-b00150.2","AT1G02070"
"Chir01Ox-b00160.2","AT1G02065"
"Chir01Ox-b00170.2","AT1G02060"
"Chir01Ox-b00180.2","AT1G02050"
"Chir01Ox-b00190.2","AT1G02040"
"Chir01Ox-b00200.2","AT1G02030"
"Chir01Ox-b00210.2","AT1G02020"
"Chir01Ox-b00220.2","AT1G02010"
"Chir01Ox-b00230.2","AT1G02000"
"Chir01Ox-b00240.2","AT1G01990"
"Chir01Ox-b00250.2","AT1G01980"
"Chir01Ox-b00260.2","AT1G01970"
"Chir01Ox-b00270.2","AT1G01960"
"Chir01Ox-b00280.2","AT1G01950"
"Chir01Ox-b00290.2","AT1G01940"
"Chir01Ox-b00300.2","AT1G01930"
"Chir01Ox-b00310.2","AT1G01920"
"Chir01Ox-b00320.2","AT1G01910"
"Chir01Ox-b00330.2","AT1G01900"
"Chir01Ox-b00340.2","AT1G01880"
"Chir01Ox-b00350.2","AT1G01860"
"Chir01Ox-b00360.2","AT1G01840"
"Chir01Ox-b00370.2","AT1G01830"
"Chir01Ox-b00380.2","AT1G01810"
"Chir01Ox-b00390.2","AT1G01800"
"Chir01Ox-b00400.2","AT1G01790"
"Chir01Ox-b00420.2","AT1G01780"
"Chir01Ox-b00430.2","AT1G01770"
"Chir01Ox-b00440.2","AT1G01760"
"Chir01Ox-b00450.2","AT1G01750"
"Chir01Ox-b00460.2","AT1G01740"
"Chir01Ox-b00470.2","AT1G01730"
"Chir01Ox-b00490.2","AT1G01720"
"Chir01Ox-b00500.2","AT1G01710"
"Chir01Ox-b00520.2","AT1G01700"
"Chir01Ox-b00550.2","AT1G01695"
"Chir01Ox-b00560.2","AT1G01690"
"Chir01Ox-b00570.2","AT1G01680"
"Chir01Ox-b00580.2","AT1G01670"
"Chir01Ox-b00590.2","AT1G01660"
"Chir01Ox-b00600.2","AT1G01650"
"Chir01Ox-b00610.2","AT1G01640"
"Chir01Ox-b00620.2","AT1G01630"
"Chir01Ox-b00640.2","AT1G01610"
"Chir01Ox-b00650.2","AT1G01600"
"Chir01Ox-b00660.2","AT1G01590"
"Chir01Ox-b00670.2","AT1G01580"
"Chir01Ox-b00690.2","AT1G01570"
"Chir01Ox-b00700.2","AT1G01560"
"Chir01Ox-b00710.2","AT1G01550"
"Chir01Ox-b00720.2","AT1G01540"
"Chir01Ox-b00730.2","AT1G01520"
"Chir01Ox-b00740.2","AT1G01510"
"Chir01Ox-b00750.2","AT1G01500"
"Chir01Ox-b00760.2","AT1G01490"
"Chir01Ox-b00770.2","AT1G01480"
"Chir01Ox-b00780.2","AT1G01470"
"Chir01Ox-b00790.2","AT1G01460"
"Chir01Ox-b00810.2","AT4G20480"
"Chir01Ox-b00820.2","AT1G01453"
"Chir01Ox-b00840.2","AT1G01440"
"Chir01Ox-b00850.2","AT1G01430"
"Chir01Ox-b00860.2","AT1G01420"
"Chir01Ox-b00890.2","AT1G01380"
"Chir01Ox-b00900.2","AT1G01370"
"Chir01Ox-b00910.2","AT1G01360"
"Chir01Ox-b00920.2","AT1G01350"
"Chir01Ox-b00940.2","AT1G01340"
"Chir01Ox-b00950.2","AT1G01320"
"Chir01Ox-b00960.2","AT1G01310"
"Chir01Ox-b00970.2","AT1G01305"
"Chir01Ox-b00980.2","AT1G01300"
"Chir01Ox-b00990.2","AT1G01290"
"Chir01Ox-b01000.2","AT1G01280"
"Chir01Ox-b01010.2","AT1G01260"
"Chir01Ox-b01020.2","AT1G01250"
"Chir01Ox-b01030.2","AT1G01240"
"Chir01Ox-b01040.2","AT1G01230"
"Chir01Ox-b01050.2","AT1G01225"
"Chir01Ox-b01060.2","AT1G01220"
"Chir01Ox-b01070.2","AT1G01210"
