"","gene_ID","AT_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","p_val","p_val_adj","TF","TF_family","Gene_functions","source"
"Chir07Ox-b11460.2","Chir07Ox-b11460.2","AT4G15140","DL3615C",1.17046324742438,0.715,0.037,0,0,NA,NA,"cellular catabolic process, defense response to other organism, molecular_function, nucleus, organonitrogen compound catabolic process, regulation of cell cycle process, regulation of defense response, response to jasmonic acid","GEP_11and DEGs"
"Chir08Ox-b18100.2","Chir08Ox-b18100.2","AT5G56120","MDA7.18",1.58941821597258,0.732,0.04,0,0,NA,NA,"biological_process, mitochondrion, molecular_function","GEP_11and DEGs"
"Chir02Ox-b02110.2","Chir02Ox-b02110.2","AT1G63100","SCL28",1.06757903411481,0.816,0.05,0,0,"Yes","GRAS","DNA binding, DNA-binding transcription factor activity, nucleus, protein binding, regulation of DNA-templated transcription, regulation of mitotic cell cycle, sequence-specific DNA binding","GEP_11and DEGs"
"Chir05Ox-b17110.2","Chir05Ox-b17110.2","AT3G51740","IMK2",1.72439682112989,0.901,0.058,0,0,NA,NA,"anatomical structure formation involved in morphogenesis, cell division, embryo development, fruit development, kinase activity, membrane, multicellular organismal reproductive process, plant-type cell wall, plasma membrane, plasmodesma, protein kinase activity, protein phosphorylation, tissue development","GEP_11and DEGs"
"Chir03Ox-b10770.2","Chir03Ox-b10770.2","AT3G11520","CYCB1;3",1.03800576158691,0.728,0.066,0,0,NA,NA,"centrosome, cyclin-dependent protein kinase holoenzyme complex, cyclin-dependent protein serine/threonine kinase regulator activity, cytoplasm, mitotic cell cycle phase transition, nucleus, protein binding, regulation of cyclin-dependent protein serine/threonine kinase activity","GEP_11and DEGs"
"Chir05Ox-b17060.2","Chir05Ox-b17060.2","AT3G51720","T18N14.100",1.35344916541567,0.828,0.067,0,0,NA,NA,"chloroplast accumulation movement, chloroplast avoidance movement, cytosol, extracellular region, molecular_function","GEP_11and DEGs"
"Chir05Ox-b16570.2","Chir05Ox-b16570.2","AT3G51230","AT3G51230.1",2.64450181384348,0.924,0.069,0,0,NA,NA,"negative regulation of cellular process, nucleus","GEP_11and DEGs"
"Chir05Ox-b16620.2","Chir05Ox-b16620.2","AT3G51280","F24M12.320",1.12126695580209,0.535,0.07,0,0,NA,NA,"negative regulation of cellular process, RNA processing","GEP_11and DEGs"
"Chir08Ox-b30340.2","Chir08Ox-b30340.2","AT5G66230","AT5G66230.2",2.38230176080105,0.728,0.073,0,0,NA,NA,"chloroplast, intramolecular lyase activity, negative regulation of cellular process, plant-type secondary cell wall biogenesis, stomatal complex development","GEP_11and DEGs"
"Chir02Ox-b02100.2","Chir02Ox-b02100.2",NA,NA,1.84096551627743,0.89,0.074,0,0,NA,NA,NA,"GEP_11and DEGs"
"Chir08Ox-b07020.2","Chir08Ox-b07020.2","AT4G11140","AT4G11140.1",0.319602609077518,0.492,0.074,0,0,"Yes","ERF","cotyledon development, DNA-binding transcription factor activity, leaf development, nucleus, protein binding, regulation of DNA-templated transcription, transcription cis-regulatory region binding","DEGs"
"Chir03Ox-b16050.2","Chir03Ox-b16050.2","AT3G16280","ERF036",0.792568087844838,0.674,0.077,0,0,"Yes","ERF","alpha-amino acid metabolic process, carboxylic acid biosynthetic process, DNA-binding transcription factor activity, glucosinolate metabolic process, nucleus, regulation of DNA-templated transcription, response to inorganic substance, response to wounding, transcription cis-regulatory region binding","DEGs"
"Chir08Ox-b00690.2","Chir08Ox-b00690.2","AT4G00540","ATMYB3R2",0.36325137139359,0.607,0.147,0,0,"Yes","MYB","DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleus, regulation of circadian rhythm, regulation of DNA-templated transcription, RNA polymerase II cis-regulatory region sequence-specific DNA binding, sequence-specific DNA binding","DEGs"
"Chir07Ox-b35530.2","Chir07Ox-b35530.2","AT4G38070","F20D10.190",0.535949387433292,0.69,0.149,0,0,"Yes","bHLH","DNA-binding transcription factor activity, mitochondrion, nucleus, protein dimerization activity, regulation of DNA-templated transcription","DEGs"
"Chir06Ox-b27720.2","Chir06Ox-b27720.2","AT5G11510","MYB3R-4",0.350679631886486,0.678,0.196,0,0,"Yes","MYB","cytokinesis, defense response to fungus, DNA-binding transcription activator activity, RNA polymerase II-specific, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, negative regulation of cellular response to caffeine, nucleus, phragmoplast, positive regulation of DNA-templated transcription, protein binding, regulation of cytokinesis, regulation of DNA endoreduplication, regulation of DNA-templated transcription, response to fungus, response to salicylic acid, RNA polymerase II cis-regulatory region sequence-specific DNA binding, sequence-specific DNA binding, spindle, transcription cis-regulatory region binding","DEGs"
"Chir07Ox-b20760.2","Chir07Ox-b20760.2","AT4G23750","TMO3",0.330910483746652,0.669,0.297,2.8179332892703e-233,5.54005684670541e-229,"Yes","ERF","cotyledon development, DNA-binding transcription factor activity, identical protein binding, nucleus, protein binding, regulation of DNA-templated transcription, root development, transcription cis-regulatory region binding","DEGs"
"Chir01Ox-b38410.2","Chir01Ox-b38410.2","AT1G49480","RTV1",0.499520130775337,0.923,0.574,0,0,"Yes","B3","DNA binding, nucleus, plasma membrane, protein binding, response to cold","DEGs"
"Chir06Ox-b05150.2","Chir06Ox-b05150.2","AT5G44040","MRH10.15",1.80455969004824,0.913,0.076,0,0,NA,NA,"male meiosis II, molecular_function, nucleus","DEGs"
"Chir07Ox-b06540.2","Chir07Ox-b06540.2","AT5G36710","F24C7.9",1.9491773391963,0.832,0.076,0,0,NA,NA,"biological_process, chloroplast, mitochondrion, molecular_function","DEGs"
