"","gene_ID","AT_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","p_val","p_val_adj","TF","TF_family","Gene_functions","source","rank"
"Chir07Ox-b02670.2","Chir07Ox-b02670.2",NA,NA,0.463727850624519,0.18,0.017,0,0,NA,NA,NA,"GEP_40and DEGs",1
"Chir08Ox-b24790.2","Chir08Ox-b24790.2","AT5G62280","MMI9.11",0.996893451604464,0.321,0.023,0,0,NA,NA,"cellular response to ethylene stimulus, cellular_component, lipid metabolic process, molecular_function, organelle organization, organic hydroxy compound metabolic process, plant epidermis development, root morphogenesis","GEP_37and DEGs",2
"Chir07Ox-b14860.2","Chir07Ox-b14860.2","AT4G17980","anac071",0.547205100869382,0.23,0.023,0,0,"Yes","NAC","cell division, cellular response to auxin stimulus, DNA binding, DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription, response to wounding, sequence-specific DNA binding","GEP_37and DEGs",3
"Chir03Ox-b00110.2","Chir03Ox-b00110.2","AT3G02000","ROXY1",0.675273684867919,0.212,0.027,0,0,NA,NA,"anther development, cytoplasm, disulfide oxidoreductase activity, glutathione oxidoreductase activity, negative regulation of DNA-templated transcription, negative regulation of transcription by RNA polymerase II, nucleus, petal development, petal formation, protein binding, protein disulfide isomerase activity, stamen morphogenesis","GEP_37and DEGs",4
"Chir07Ox-b03620.2","Chir07Ox-b03620.2","AT5G39240","K3K3.14",0.574910569889339,0.401,0.047,0,0,NA,NA,"mitochondrion, molecular_function, regulation of DNA-templated transcription","GEP_37and DEGs",5
"Chir02Ox-b15590.2","Chir02Ox-b15590.2","AT1G69180","CRC",1.56579365433965,0.432,0.048,0,0,"Yes","YABBY","carpel development, cell fate commitment, DNA-binding transcription factor activity, floral meristem determinacy, leaf development, nectary development, nucleus, polarity specification of adaxial/abaxial axis, protein binding, regulation of DNA-templated transcription, sequence-specific DNA binding, style development, transcription cis-regulatory region binding","GEP_40and DEGs",6
"Chir08Ox-b22680.2","Chir08Ox-b22680.2","AT5G60200","DOF5.3",0.472734874528367,0.394,0.068,0,0,"Yes","Dof","DNA-binding transcription factor activity, nucleus, phloem or xylem histogenesis, regulation of DNA-templated transcription, root development, root radial pattern formation, transcription cis-regulatory region binding","DEGs",7
"Chir02Ox-b16950.2","Chir02Ox-b16950.2",NA,NA,0.868597447748279,0.484,0.069,0,0,NA,NA,NA,"GEP_37and DEGs",8
"Chir02Ox-b20320.2","Chir02Ox-b20320.2","AT1G73590","PIN1",0.609673194655442,0.495,0.076,0,0,NA,NA,"apical part of cell, auxin efflux transmembrane transporter activity, auxin export across the plasma membrane, auxin homeostasis, auxin polar transport, basal plasma membrane, cotyledon development, cotyledon morphogenesis, cytoplasm, embryo development ending in seed dormancy, endoplasmic reticulum, flower development, gravitropism, inflorescence development, leaf formation, leaf shaping, phosphorylation, photomorphogenesis, plant-type cell wall, plasma membrane, plasmodesma, protein binding, root development, shoot system development, xylem and phloem pattern formation","GEP_37and DEGs",9
"Chir03Ox-b10550.2","Chir03Ox-b10550.2","AT3G11260","WOX5B",0.374291454296514,0.333,0.086,3.87635726870478e-299,7.62091839027361e-295,"Yes","WOX","DNA-binding transcription factor activity, maintenance of root meristem identity, nucleus, positive regulation of stem cell population maintenance, protein binding, response to auxin, sequence-specific DNA binding","DEGs",10
"Chir05Ox-b28960.2","Chir05Ox-b28960.2","AT3G63300","AT3G63300.1",1.36061044781344,0.683,0.089,0,0,NA,NA,"auxin-activated signaling pathway, chloroplast, leaf vascular tissue pattern formation, nucleus, phloem or xylem histogenesis, phosphatidylinositol binding, post-Golgi vesicle-mediated transport, protein binding, response to auxin, signal transduction, trans-Golgi network","GEP_37and DEGs",11
"Chir04Ox-b00160.2","Chir04Ox-b00160.2","AT2G21050","LAX2",1.36094533526322,0.622,0.093,0,0,NA,NA,"amino acid transmembrane transport, amino acid transmembrane transporter activity, cotyledon vascular tissue pattern formation, membrane, plasma membrane, response to nematode, root cap development","GEP_37and DEGs",12
"Chir02Ox-b10470.2","Chir02Ox-b10470.2","AT1G65090","AT1G65090.3",0.345147494232941,0.396,0.096,0,0,NA,NA,"cytoplasm, lipid droplet, nucleus, protein binding, seed development","GEP_40and DEGs",13
