"gene_ID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","AT_ID","TF","TF_family","Gene_code_name","Gene_functions"
"Chir03Ox-b11920.2",0,0.407095370811557,0.158,0,0,"AT3G12730","Yes","G2-like","MBK21.11","DNA-binding transcription factor activity, mitochondrion, nucleus, regulation of DNA-templated transcription"
"Chir03Ox-b03290.2",0,0.372565368374475,0.158,0.001,0,"AT3G04030","Yes","G2-like","MYR2","DNA-binding transcription factor activity, mitochondrion, regulation of DNA-templated transcription"
"Chir06Ox-b20970.2",0,0.591746142027451,0.13,0.001,0,"AT5G18240","Yes","G2-like","MYR1","DNA-binding transcription factor activity, mitochondrion, protein binding, regulation of DNA-templated transcription, response to light stimulus"
"Chir05Ox-b02240.2",0,0.700186453391269,0.342,0.002,0,"AT2G03500","Yes","G2-like","HHO4","DNA-binding transcription factor activity, gibberellic acid mediated signaling pathway, histone H3-K36 methylation, negative regulation of long-day photoperiodism, flowering, negative regulation of nucleic acid-templated transcription, nucleus, protein binding, regulation of DNA-templated transcription, response to temperature stimulus"
"Chir07Ox-b26460.2",0,0.440990282344744,0.233,0.003,0,"AT4G29230","Yes","NAC","anac075","cis-regulatory region sequence-specific DNA binding, DNA binding, DNA-binding transcription factor activity, nucleus, positive regulation of DNA-templated transcription, regulation of DNA-templated transcription, regulation of secondary cell wall biogenesis, regulation of vegetative phase change, tracheary element differentiation, transcription cis-regulatory region binding"
"Chir02Ox-b26600.2",0,2.01312430396031,0.452,0.004,0,"AT1G79430","Yes","G2-like","WDY","DNA-binding transcription factor activity, mitochondrion, nucleus, phloem development, positive regulation of DNA-templated transcription, protein binding, regulation of DNA-templated transcription, xylem development"
"Chir08Ox-b25450.2",1.2742694751808e-135,0.424509863076837,0.158,0.005,2.50521378820545e-131,"AT5G62940","Yes","Dof","DOF5.6","DNA-binding transcription factor activity, nucleus, phloem or xylem histogenesis, positive regulation of DNA-templated transcription, procambium histogenesis, regulation of DNA-templated transcription, root radial pattern formation, transcription cis-regulatory region binding"
"Chir06Ox-b33210.2",7.54069578866723e-301,0.551268620654894,0.26,0.006,1.48250079205198e-296,"AT5G05790","Yes","MYB","AT5G05790.1","DNA-binding transcription factor activity, nucleus, protein binding, regulation of DNA-templated transcription, transcription cis-regulatory region binding"
"Chir02Ox-b11600.2",7.06439808301564e-62,0.341412601579205,0.137,0.008,1.38886066312087e-57,"AT1G65910","Yes","NAC","anac028","DNA binding, DNA-binding transcription factor activity, nucleus, phloem development, regulation of DNA-templated transcription"
"Chir04Ox-b16290.2",3.58800720934406e-65,0.448960846522607,0.185,0.014,7.05402217357042e-61,"AT2G34140","Yes","Dof","AT2G34140.1","DNA-binding transcription factor activity, negative regulation of DNA-templated transcription, negative regulation of stem cell population maintenance, nucleus, transcription cis-regulatory region binding"
"Chir01Ox-b07120.2",7.30141767170184e-174,0.745364660145373,0.363,0.02,1.43545871425658e-169,"AT1G07640","Yes","Dof","OBP2","DNA-binding transcription factor activity, nucleus, regionalization, regulation of DNA-templated transcription, regulation of glucosinolate biosynthetic process, regulation of root development, response to insect, response to jasmonic acid, response to wounding, root radial pattern formation, transcription cis-regulatory region binding"
"Chir07Ox-b27220.2",1.59068294321135e-26,0.292810253311179,0.144,0.02,3.12728266635352e-22,"AT4G29930","Yes","bHLH","F27B13.170","DNA-binding transcription factor activity, nucleus, protein dimerization activity, regulation of DNA-templated transcription, sequence-specific DNA binding"
"Chir02Ox-b24950.2",3.45732175507883e-59,0.351473274394668,0.219,0.021,6.79709457048499e-55,"AT1G77920","Yes","bZIP","AT1G77920.1","defense response to bacterium, DNA-binding transcription factor activity, DNA-templated transcription, nucleus, protein binding, regulation of DNA-templated transcription, transcription cis-regulatory region binding"
"Chir01Ox-b26430.2",1.95497383060848e-30,0.290443823705055,0.164,0.022,3.84347855097627e-26,"AT1G27660","Yes","bHLH","PFA5","DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleus, protein dimerization activity, regulation of DNA-templated transcription, regulation of transcription by RNA polymerase II, RNA polymerase II cis-regulatory region sequence-specific DNA binding"
"Chir06Ox-b14960.2",3.09778665413241e-102,1.39235372239727,0.301,0.024,6.09024856202432e-98,"AT5G24800","Yes","bZIP","ATBZIP9","cellular response to glucose stimulus, DNA-binding transcription factor activity, nucleus, protein binding, protein heterodimerization activity, protein homodimerization activity, regulation of DNA-templated transcription, transcription cis-regulatory region binding"
"Chir05Ox-b10420.2",1.03442940451447e-131,0.96011422931885,0.349,0.025,2.03368820927546e-127,"AT3G45610","Yes","Dof","AT3G45610.1","DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription, root radial pattern formation, transcription cis-regulatory region binding"
"Chir05Ox-b20920.2",1.01650916520189e-28,0.407581920803351,0.192,0.031,1.99845701878691e-24,"AT3G55370","Yes","Dof","OBP3","DNA binding, DNA-binding transcription factor activity, nucleus, photomorphogenesis, positive regulation of DNA-templated transcription, regulation of DNA-templated transcription, transcription cis-regulatory region binding"
"Chir02Ox-b22350.2",1.57099801484404e-16,0.378664899162638,0.151,0.032,3.08858209718339e-12,"AT1G75390","Yes","bZIP","AtbZIP44","DNA-binding transcription factor activity, nucleus, positive regulation of DNA-templated transcription, protein binding, protein heterodimerization activity, regulation of DNA-templated transcription, seed germination, sequence-specific DNA binding, transcription cis-regulatory region binding"
"Chir06Ox-b25450.2",3.62644142368434e-16,0.81807080899367,0.171,0.04,7.12958383896341e-12,"AT5G14000","Yes","NAC","anac084","carboxylic acid biosynthetic process, cellular catabolic process, cellular lipid metabolic process, DNA binding, DNA-binding transcription factor activity, lipid biosynthetic process, nucleus, organic cyclic compound catabolic process, organic hydroxy compound metabolic process, regulation of DNA-templated transcription, response to salt stress, secondary metabolic process, transcription cis-regulatory region binding"
"Chir03Ox-b00650.2",1.2146337181405e-71,0.723744508303637,0.342,0.043,2.38796988986423e-67,"AT3G01470","Yes","HD-ZIP","ATHB-1","DNA binding, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, leaf morphogenesis, negative regulation of translation, nucleus, positive regulation of DNA-templated transcription, protein binding, protein homodimerization activity, regulation of cell growth, response to blue light, response to salt stress, sequence-specific DNA binding"
"Chir05Ox-b19860.2",2.46221563535808e-34,0.422182661737327,0.247,0.043,4.84071593911399e-30,"AT3G54390","Yes","Trihelix","T14E10.5","DNA-binding transcription factor activity, nucleus, protein binding, regulation of DNA-templated transcription, transcription cis-regulatory region binding"
"Chir02Ox-b16030.2",9.87868600570113e-83,1.28087356938715,0.37,0.044,1.94214966872084e-78,"AT1G69580","Yes","G2-like","AT1G69580.1","DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription"
"Chir06Ox-b06600.2",5.53700096896916e-05,0.29429646584671,0.123,0.051,1,"AT5G43170","Yes","C2H2","AZF3","DNA binding, DNA-binding transcription factor activity, hyperosmotic salinity response, negative regulation of DNA-templated transcription, nucleus, protein binding, response to cold, sequence-specific DNA binding, transcription cis-regulatory region binding"
"Chir07Ox-b34150.2",1.08045284602122e-39,0.648081650652016,0.295,0.053,2.12417029527773e-35,"AT4G36710","Yes","GRAS","HAM4","cell differentiation, DNA-binding transcription factor activity, nucleus, protein binding, regulation of DNA-templated transcription, regulation of shoot system development, sequence-specific DNA binding"
"Chir02Ox-b00230.2",4.40965819763648e-22,0.313726799832873,0.247,0.058,8.66938801655332e-18,"AT1G64620","Yes","Dof","VDOF2","DNA-binding transcription factor activity, nucleus, protein binding, regulation of DNA-templated transcription, transcription cis-regulatory region binding"
"Chir07Ox-b35940.2",9.22498387984479e-15,0.929289958220352,0.226,0.068,1.81363183077749e-10,"AT4G39780","Yes","ERF","ERF60","defense response, DNA binding, DNA-binding transcription factor activity, nucleus, protein binding, regulation of DNA-templated transcription, response to light stimulus, sequence-specific DNA binding, transcription cis-regulatory region binding"
"Chir08Ox-b21160.2",2.42327132151656e-21,0.265459337281236,0.274,0.072,4.76415141810156e-17,"AT5G58900","Yes","MYB_related","AT5G58900.1","carbohydrate derivative metabolic process, DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription, response to red light, small molecule metabolic process, transcription cis-regulatory region binding"
"Chir02Ox-b16020.2",1.83599777052466e-41,0.5842401501916,0.384,0.082,3.60957161685147e-37,"AT1G69570","Yes","Dof","CDF5","DNA binding, DNA-binding transcription factor activity, negative regulation of long-day photoperiodism, flowering, negative regulation of short-day photoperiodism, flowering, nucleus, regulation of DNA-templated transcription"
"Chir04Ox-b20710.2",4.52033432447839e-16,0.370833645397099,0.267,0.083,8.88697728192451e-12,"AT2G38250","Yes","Trihelix","AT2G38250.1","DNA-binding transcription factor activity, mediator complex, nucleolus, nucleus, protein binding, regulation of DNA-templated transcription, sequence-specific DNA binding"
"Chir01Ox-b27710.2",2.1449850303093e-20,0.606596195220748,0.301,0.091,4.21704056958808e-16,"AT1G29160","Yes","Dof","COG1","DNA binding, DNA-binding transcription factor activity, nucleus, protein binding, regulation of DNA-templated transcription, seed coat development, transcription cis-regulatory region binding"
"Chir08Ox-b22680.2",9.64121588108919e-16,0.4771265004989,0.281,0.092,1.89546304222214e-11,"AT5G60200","Yes","Dof","DOF5.3","DNA-binding transcription factor activity, nucleus, phloem or xylem histogenesis, regulation of DNA-templated transcription, root development, root radial pattern formation, transcription cis-regulatory region binding"
"Chir07Ox-b21070.2",1.40610400209811e-27,0.558106852505676,0.349,0.093,2.76440046812488e-23,"AT4G24060","Yes","Dof","Dof4.6","DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription"
"Chir04Ox-b10040.2",1.02723120604988e-12,0.281809112544318,0.274,0.098,2.01953655109407e-08,"AT2G28510","Yes","Dof","AT2G28510.1","DNA-binding transcription factor activity, nucleolus, nucleus, regulation of DNA-templated transcription, transcription cis-regulatory region binding, zinc ion binding"
