"gene_ID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","AT_ID","TF","TF_family","Gene_code_name","Gene_functions"
"Chir07Ox-b23260.2",0,0.334273055626041,0.829,0.509,0,"AT4G26170","Yes","HRT-like","AT4G26170.1","cytoplasm, DNA binding, DNA methylation, extracellular region, nucleus, regulation of DNA-templated transcription"
"Chir07Ox-b35530.2",0,0.950153617241101,0.961,0.556,0,"AT4G38070","Yes","bHLH","F20D10.190","DNA-binding transcription factor activity, mitochondrion, nucleus, protein dimerization activity, regulation of DNA-templated transcription"
"Chir07Ox-b14660.2",3.20351725812322e-124,0.295374590826847,0.757,0.591,5.72852956097593e-120,"AT4G17810","Yes","C2H2","EMB3022","cis-regulatory region sequence-specific DNA binding, DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription, regulation of root hair elongation, root hair initiation, sequence-specific DNA binding"
"Chir06Ox-b11160.2",3.12209587401794e-66,0.341322639380255,0.71,0.592,5.58293184191888e-62,"AT5G49450","Yes","bZIP","AtbZIP1","anther dehiscence, cellular response to glucose stimulus, cellular response to starvation, DNA-binding transcription factor activity, nucleus, positive regulation of DNA-templated transcription, protein binding, protein heterodimerization activity, regulation of cellular amino acid metabolic process, response to bacterium, response to osmotic stress, response to salt stress, sequence-specific DNA binding, sugar mediated signaling pathway, transcription cis-regulatory region binding"
"Chir06Ox-b27720.2",0,0.691482782561918,0.946,0.595,0,"AT5G11510","Yes","MYB","MYB3R-4","cytokinesis, defense response to fungus, DNA-binding transcription activator activity, RNA polymerase II-specific, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, negative regulation of cellular response to caffeine, nucleus, phragmoplast, positive regulation of DNA-templated transcription, protein binding, regulation of cytokinesis, regulation of DNA endoreduplication, regulation of DNA-templated transcription, response to fungus, response to salicylic acid, RNA polymerase II cis-regulatory region sequence-specific DNA binding, sequence-specific DNA binding, spindle, transcription cis-regulatory region binding"
"Chir03Ox-b00810.2",0,0.275585740578092,0.804,0.6,0,"AT3G01330","Yes","E2F/DP","DEL3","cytoplasm, DNA binding, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleus, protein binding, regulation of transcription by RNA polymerase II, RNA polymerase II cis-regulatory region sequence-specific DNA binding, RNA polymerase II transcription regulator complex"
"Chir08Ox-b29440.2",1.26453594270584e-08,0.643095696588015,0.637,0.621,0.000226124317274658,"AT5G66940","Yes","Dof","AT5G66940.1","DNA binding, DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription, transcription cis-regulatory region binding, zinc ion binding"
"Chir04Ox-b09970.2",4.96027700003456e-174,0.250403921722812,0.874,0.692,8.86996733146179e-170,"AT2G28450","Yes","C3H","AT2G28450.1","nucleus, RNA methyltransferase activity, RNA processing, transcription cis-regulatory region binding"
"Chir07Ox-b10980.2",1.38283988535442e-294,0.387960509696946,0.883,0.716,2.47279428299078e-290,"AT4G14770","Yes","CPP","TCX2","DNA-binding transcription factor activity, mitotic G1 phase, mitotic G2 phase, mitotic S phase, nucleus, regulation of DNA-templated transcription, stomatal complex patterning, stomatal lineage progression, transcription cis-regulatory region binding"
"Chir08Ox-b28190.2",1.53922358078361e-293,0.42802392504572,0.946,0.757,2.75243960715725e-289,"AT5G65510","Yes","AP2","PLT7","auxin mediated signaling pathway involved in phyllotactic patterning, callus formation, DNA binding, DNA-binding transcription factor activity, lateral root formation, leaf phyllotactic patterning, maintenance of shoot apical meristem identity, nucleus, phyllotactic patterning, protein binding, regulation of DNA-templated transcription"
"Chir08Ox-b25970.2",1.19098966534329e-142,0.261997205406715,0.924,0.765,2.12972771956687e-138,"AT5G63420","Yes","Trihelix","AtRNJ","5'-3' exonuclease activity, auxin transport, chloroplast, chloroplast organization, embryo development ending in seed dormancy, endonuclease activity, longitudinal axis specification, mRNA binding, nucleus, plastid, response to light stimulus"
"Chir08Ox-b30240.2",1.11429899549479e-126,0.260088604819593,0.951,0.832,1.99258946374379e-122,"AT5G66320","Yes","GATA","AT5G66320.1","cell differentiation, cell wall organization or biogenesis, defense response to other organism, DNA-binding transcription factor activity, negative regulation of metabolic process, nucleus, positive regulation of DNA-templated transcription, regulation of DNA-templated transcription, tissue development, transcription cis-regulatory region binding, zinc ion binding"
"Chir06Ox-b04970.2",1.98563671388037e-115,0.262171422377226,0.956,0.836,3.55071557176088e-111,"AT5G44190","Yes","G2-like","GLK2","chloroplast organization, DNA binding, DNA-binding transcription factor activity, negative regulation of flower development, negative regulation of leaf senescence, nucleus, positive regulation of DNA-templated transcription, protein binding, regulation of chlorophyll biosynthetic process, transcription cis-regulatory region binding"
"Chir03Ox-b16680.2",5.72064767806241e-169,0.3438460014042,0.985,0.895,1.02296621779112e-164,"AT3G16870","Yes","GATA","AT3G16870.1","cell differentiation, DNA-binding transcription factor activity, nucleus, plant-type secondary cell wall biogenesis, regulation of DNA-templated transcription, transcription cis-regulatory region binding, zinc ion binding"
"Chir08Ox-b28090.2",1.71946687749621e-156,0.35956476139727,0.995,0.946,3.07475067033872e-152,"AT5G65410","Yes","ZF-HD","ATHB25","DNA-binding transcription factor activity, nucleus, protein binding, protein homodimerization activity, regulation of DNA-templated transcription, regulation of gibberellin biosynthetic process, seed maturation, transcription cis-regulatory region binding"
