"gene_ID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","AT_ID","TF","TF_family","Gene_code_name","Gene_functions"
"Chir03Ox-b11920.2",0,0.306532706163323,0.114,0,0,"AT3G12730","Yes","G2-like","MBK21.11","DNA-binding transcription factor activity, mitochondrion, nucleus, regulation of DNA-templated transcription"
"Chir03Ox-b03290.2",0,0.274945929839462,0.109,0.001,0,"AT3G04030","Yes","G2-like","MYR2","DNA-binding transcription factor activity, mitochondrion, regulation of DNA-templated transcription"
"Chir05Ox-b02240.2",0,0.53915224605511,0.249,0.002,0,"AT2G03500","Yes","G2-like","HHO4","DNA-binding transcription factor activity, gibberellic acid mediated signaling pathway, histone H3-K36 methylation, negative regulation of long-day photoperiodism, flowering, negative regulation of nucleic acid-templated transcription, nucleus, protein binding, regulation of DNA-templated transcription, response to temperature stimulus"
"Chir07Ox-b26460.2",2.88179787274408e-298,0.327564157790057,0.164,0.003,5.66561461781487e-294,"AT4G29230","Yes","NAC","anac075","cis-regulatory region sequence-specific DNA binding, DNA binding, DNA-binding transcription factor activity, nucleus, positive regulation of DNA-templated transcription, regulation of DNA-templated transcription, regulation of secondary cell wall biogenesis, regulation of vegetative phase change, tracheary element differentiation, transcription cis-regulatory region binding"
"Chir02Ox-b26600.2",0,1.66877703173416,0.323,0.004,0,"AT1G79430","Yes","G2-like","WDY","DNA-binding transcription factor activity, mitochondrion, nucleus, phloem development, positive regulation of DNA-templated transcription, protein binding, regulation of DNA-templated transcription, xylem development"
"Chir08Ox-b25450.2",1.43951526582458e-96,0.315978739624045,0.114,0.005,2.83008701261113e-92,"AT5G62940","Yes","Dof","DOF5.6","DNA-binding transcription factor activity, nucleus, phloem or xylem histogenesis, positive regulation of DNA-templated transcription, procambium histogenesis, regulation of DNA-templated transcription, root radial pattern formation, transcription cis-regulatory region binding"
"Chir06Ox-b33210.2",1.27740684357731e-203,0.413656182843525,0.184,0.006,2.511381854473e-199,"AT5G05790","Yes","MYB","AT5G05790.1","DNA-binding transcription factor activity, nucleus, protein binding, regulation of DNA-templated transcription, transcription cis-regulatory region binding"
"Chir02Ox-b11600.2",2.84846281101485e-43,0.252125454582553,0.1,0.008,5.6000778864552e-39,"AT1G65910","Yes","NAC","anac028","DNA binding, DNA-binding transcription factor activity, nucleus, phloem development, regulation of DNA-templated transcription"
"Chir03Ox-b06010.2",2.12704232896079e-38,0.788482474383948,0.114,0.012,4.18176521873691e-34,"AT3G06490","Yes","MYB","MYB108","DNA-binding transcription factor activity, nucleus, positive regulation of anther dehiscence, regulation of DNA-templated transcription, response to fungus, sequence-specific DNA binding, transcription cis-regulatory region binding"
"Chir04Ox-b16290.2",6.28475993473265e-45,0.329632623631423,0.134,0.014,1.23558380316844e-40,"AT2G34140","Yes","Dof","AT2G34140.1","DNA-binding transcription factor activity, negative regulation of DNA-templated transcription, negative regulation of stem cell population maintenance, nucleus, transcription cis-regulatory region binding"
"Chir07Ox-b27220.2",2.63308114747608e-28,0.266165889634794,0.129,0.02,5.17663753593797e-24,"AT4G29930","Yes","bHLH","F27B13.170","DNA-binding transcription factor activity, nucleus, protein dimerization activity, regulation of DNA-templated transcription, sequence-specific DNA binding"
"Chir01Ox-b07120.2",5.28085262493221e-121,0.564396686213613,0.264,0.021,1.03821562606167e-116,"AT1G07640","Yes","Dof","OBP2","DNA-binding transcription factor activity, nucleus, regionalization, regulation of DNA-templated transcription, regulation of glucosinolate biosynthetic process, regulation of root development, response to insect, response to jasmonic acid, response to wounding, root radial pattern formation, transcription cis-regulatory region binding"
"Chir02Ox-b24950.2",7.91307957136486e-46,0.267459973864796,0.169,0.021,1.55571144373033e-41,"AT1G77920","Yes","bZIP","AT1G77920.1","defense response to bacterium, DNA-binding transcription factor activity, DNA-templated transcription, nucleus, protein binding, regulation of DNA-templated transcription, transcription cis-regulatory region binding"
"Chir06Ox-b14960.2",1.43935153563909e-73,1.11087941435994,0.224,0.024,2.82976511906646e-69,"AT5G24800","Yes","bZIP","ATBZIP9","cellular response to glucose stimulus, DNA-binding transcription factor activity, nucleus, protein binding, protein heterodimerization activity, protein homodimerization activity, regulation of DNA-templated transcription, transcription cis-regulatory region binding"
"Chir05Ox-b10420.2",1.52517085037996e-90,0.737008279422221,0.254,0.025,2.99848589184701e-86,"AT3G45610","Yes","Dof","AT3G45610.1","DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription, root radial pattern formation, transcription cis-regulatory region binding"
