"","gene_ID","AT_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","p_val","p_val_adj","TF","TF_family","Gene_functions","source"
"Chir07Ox-b33740.2","Chir07Ox-b33740.2","AT4G36230","F23E13.120",1.22510000385644,0.645,0.005,0,0,NA,NA,"alpha-amino acid metabolic process, cell wall organization or biogenesis, cellular developmental process, molecular_function, protein-containing complex assembly","GEP_6and DEGs"
"Chir05Ox-b16400.2","Chir05Ox-b16400.2","AT3G51060","STY1",1.08071932254804,0.679,0.008,0,0,"Yes","SRS","anther development, auxin homeostasis, DNA binding, DNA-binding transcription factor activity, negative regulation of gibberellic acid mediated signaling pathway, nucleus, pollen development, positive regulation of DNA-templated transcription, protein heterodimerization activity, stigma development, style development, xylem and phloem pattern formation","GEP_6and DEGs"
"Chir08Ox-b26390.2","Chir08Ox-b26390.2","AT5G63850","AAP4",1.49920896612181,0.473,0.008,0,0,NA,NA,"acidic amino acid transmembrane transporter activity, amino acid transmembrane transport, amino acid transmembrane transporter activity, amino acid transport, membrane, neutral amino acid transmembrane transporter activity, plasma membrane, primary active transmembrane transporter activity, transmembrane transport","GEP_6and DEGs"
"Chir01Ox-b19700.2","Chir01Ox-b19700.2","AT1G19790","SRS7",1.78136868600744,0.726,0.009,0,0,"Yes","SRS","DNA binding, DNA-binding transcription factor activity, mRNA transcription, nucleus, positive regulation of DNA-templated transcription, protein binding","GEP_6and DEGs"
"Chir04Ox-b25790.2","Chir04Ox-b25790.2","AT2G43050","PME16",1.26999888393359,0.514,0.014,0,0,NA,NA,"carboxylic acid metabolic process, cell differentiation, cell wall modification, cell wall organization or biogenesis, developmental growth, extracellular region, pectin catabolic process, pectinesterase activity, pectinesterase inhibitor activity, plant epidermis development, seed development","GEP_6and DEGs"
"Chir05Ox-b26740.2","Chir05Ox-b26740.2","AT3G60890","AT3G60890.1",2.48243828225253,0.695,0.018,0,0,NA,NA,"biological_process, mitochondrion, protein binding","GEP_6and DEGs"
"Chir07Ox-b33690.2","Chir07Ox-b33690.2","AT4G36160","ANAC076",1.07894234299522,0.537,0.02,0,0,"Yes","NAC","DNA binding, DNA-binding transcription factor activity, nucleus, positive regulation of secondary cell wall biogenesis, protein binding, regulation of DNA-templated transcription, sequence-specific DNA binding, transcription cis-regulatory region binding, xylem vessel member cell differentiation","GEP_6and DEGs"
"Chir03Ox-b24740.2","Chir03Ox-b24740.2","AT3G24450","AtHMP27",1.06780054390844,0.577,0.022,0,0,NA,NA,"metal ion binding, response to light intensity","GEP_6and DEGs"
"Chir07Ox-b33770.2","Chir07Ox-b33770.2","AT4G36260","STY2",1.17089023855447,0.715,0.024,0,0,"Yes","SRS","anther development, auxin homeostasis, DNA binding, DNA-binding transcription factor activity, negative regulation of gibberellic acid mediated signaling pathway, nucleus, pollen development, positive regulation of DNA-templated transcription, protein binding, stigma development, style development, xylem and phloem pattern formation","GEP_6and DEGs"
"Chir06Ox-b35160.2","Chir06Ox-b35160.2","AT5G03790","ATHB51",1.18814879538927,0.59,0.039,0,0,"Yes","HD-ZIP","bract formation, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, floral meristem determinacy, leaf morphogenesis, nucleus, positive regulation of DNA-templated transcription, regulation of timing of transition from vegetative to reproductive phase, sequence-specific DNA binding","GEP_6and DEGs"
"Chir07Ox-b20540.2","Chir07Ox-b20540.2","AT4G23550","WRKY29",1.73156551248158,0.486,0.005,0,0,"Yes","WRKY","DNA-binding transcription factor activity, nucleus, transcription cis-regulatory region binding","DEGs"
