"","gene_ID","AT_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","p_val","p_val_adj","TF","TF_family","Gene_functions","source","rank"
"Chir06Ox-b31270.2","Chir06Ox-b31270.2","AT5G07700","AtMYB76",0.334533402994822,0.146,0.005,0,0,"Yes","MYB","DNA-binding transcription factor activity, nucleus, regulation of glucosinolate biosynthetic process, response to insect, response to water deprivation, response to wounding, transcription cis-regulatory region binding","DEGs",1
"Chir03Ox-b19560.2","Chir03Ox-b19560.2","AT3G19710","BCAT4",1.31242078288243,0.103,0.006,6.6814248656307e-215,1.313568128583e-210,NA,NA,"branched-chain amino acid metabolic process, branched-chain-amino-acid transaminase activity, cytoplasm, cytosol, glucosinolate biosynthetic process, methionine-oxo-acid transaminase activity, response to light stimulus, response to wounding","GEP_34and DEGs",2
"Chir02Ox-b19530.2","Chir02Ox-b19530.2","AT5G05260","CYP79A2",1.38688663694374,0.305,0.014,0,0,NA,NA,"glucosinolate biosynthetic process, heme binding, iron ion binding, L-phenylalanine N-monooxygenase activity, membrane, mitochondrion, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen, oxygen binding","GEP_34and DEGs",3
"Chir08Ox-b03300.2","Chir08Ox-b03300.2",NA,NA,1.59489670054121,0.209,0.014,0,0,NA,NA,NA,"GEP_34and DEGs",4
"Chir06Ox-b16730.2","Chir06Ox-b16730.2",NA,NA,1.53575042581431,0.318,0.015,0,0,NA,NA,NA,"GEP_34and DEGs",5
"Chir06Ox-b16750.2","Chir06Ox-b16750.2","AT5G23010","GSM1",1.89597691077638,0.33,0.018,0,0,NA,NA,"2-(2'-methylthio)ethylmalate synthase activity, acyltransferase activity, acyl groups converted into alkyl on transfer, carboxylic acid metabolic process, chloroplast, glucosinolate biosynthetic process, leucine biosynthetic process, response to insect, response to water deprivation","GEP_34and DEGs",6
"Chir06Ox-b31280.2","Chir06Ox-b31280.2","AT5G07690","ATMYB29",0.688010934074269,0.491,0.032,0,0,"Yes","MYB","cellular response to sulfur starvation, defense response to fungus, DNA-binding transcription factor activity, drought recovery, hormone-mediated signaling pathway, induced systemic resistance, jasmonic acid mediated signaling pathway, mitochondria-nucleus signaling pathway, negative regulation of ethylene-activated signaling pathway, nucleus, protein binding, regulation of DNA-templated transcription, regulation of glucosinolate biosynthetic process, regulation of response to water deprivation, regulation of RNA binding transcription factor activity, response to bacterium, response to high light intensity, response to insect, response to water deprivation, response to wounding, transcription cis-regulatory region binding","DEGs",7
"Chir07Ox-b09390.2","Chir07Ox-b09390.2",NA,NA,1.73565631207636,0.576,0.034,0,0,NA,NA,NA,"GEP_34and DEGs",8
"Chir07Ox-b35760.2","Chir07Ox-b35760.2","AT4G39950","CYP79B2",1.20455440202347,0.34,0.035,0,0,NA,NA,"camalexin biosynthetic process, chloroplast, defense response, defense response by callose deposition in cell wall, defense response to bacterium, defense response to oomycetes, heme binding, indoleacetic acid biosynthetic process, induced systemic resistance, iron ion binding, membrane, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen, response to bacterium, response to insect, response to water deprivation, tryptophan catabolic process","GEP_34and DEGs",9
"Chir03Ox-b31670.2","Chir03Ox-b31670.2","AT4G04830","ATMSRB5",2.24019919358018,0.658,0.048,0,0,NA,NA,"chloroplast, cytosol, glucosinolate metabolic process, peptide-methionine (R)-S-oxide reductase activity, response to jasmonic acid, response to wounding","GEP_34and DEGs",10
"Chir07Ox-b09460.2","Chir07Ox-b09460.2",NA,NA,2.39542375956067,0.727,0.052,0,0,NA,NA,NA,"GEP_34and DEGs",11
"Chir07Ox-b35940.2","Chir07Ox-b35940.2","AT4G39780","ERF60",0.539256783476409,0.293,0.062,4.59985575821498e-177,9.04331642065065e-173,"Yes","ERF","defense response, DNA binding, DNA-binding transcription factor activity, nucleus, protein binding, regulation of DNA-templated transcription, response to light stimulus, sequence-specific DNA binding, transcription cis-regulatory region binding","DEGs",12
"Chir08Ox-b23350.2","Chir08Ox-b23350.2","AT5G60890","ATMYB34",0.44298679457467,0.39,0.067,0,0,"Yes","MYB","cellular response to sulfur starvation, defense response to insect, DNA-binding transcription factor activity, indole glucosinolate biosynthetic process, nucleus, positive regulation of DNA-templated transcription, protein binding, transcription cis-regulatory region binding, tryptophan biosynthetic process","DEGs",13
"Chir02Ox-b11540.2","Chir02Ox-b11540.2","AT1G65860","FMO GS-OX1",1.24917424090521,0.533,0.074,0,0,NA,NA,"3-methylthiopropyl glucosinolate S-oxygenase activity, 4-methylthiopropyl glucosinolate S-oxygenase activity, 5-methylthiopropyl glucosinolate S-oxygenase activity, 6-methylthiopropyl glucosinolate S-oxygenase activity, 7-methylthiopropyl glucosinolate S-oxygenase activity, 8-methylthiopropyl glucosinolate S-oxygenase activity, flavin adenine dinucleotide binding, glucosinolate biosynthetic process from homomethionine, N,N-dimethylaniline monooxygenase activity, NADP binding, nucleus","GEP_34and DEGs",14
"Chir07Ox-b09470.2","Chir07Ox-b09470.2","AT4G13770","CYP83A1",1.7745105520982,0.828,0.087,0,0,NA,NA,"cytosol, glucosinolate biosynthetic process, heme binding, iron ion binding, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen, response to insect, response to UV","DEGs",15
"Chir07Ox-b00240.2","Chir07Ox-b00240.2","AT5G41920","SCL23",0.387834322028892,0.416,0.09,6.34522441344859e-271,1.24747111968399e-266,"Yes","GRAS","bundle sheath cell fate specification, DNA-binding transcription factor activity, endodermal cell fate specification, leaf development, nucleus, protein binding, regulation of DNA-templated transcription, sequence-specific DNA binding, transcription cis-regulatory region binding","DEGs",16
"Chir04Ox-b10040.2","Chir04Ox-b10040.2","AT2G28510","AT2G28510.1",0.297747571986409,0.247,0.094,1.89578816655125e-57,3.72711953543976e-53,"Yes","Dof","DNA-binding transcription factor activity, nucleolus, nucleus, regulation of DNA-templated transcription, transcription cis-regulatory region binding, zinc ion binding","DEGs",17
"Chir06Ox-b24490.2","Chir06Ox-b24490.2","AT5G14920","GASA14",1.22149989127919,0.518,0.094,0,0,NA,NA,"plasma membrane, plastid, protein binding, regulation of reactive oxygen species metabolic process, response to abscisic acid, response to gibberellin, response to salt stress","DEGs",18
"Chir05Ox-b24830.2","Chir05Ox-b24830.2","AT3G58990","IPMI1",1.10644946773543,0.539,0.096,0,0,NA,NA,"3-isopropylmalate dehydratase activity, chloroplast, chloroplast stroma, glucosinolate biosynthetic process, leucine biosynthetic process, plastid","DEGs",19
"Chir07Ox-b35780.2","Chir07Ox-b35780.2","AT4G39940","AKN2",1.11261514355393,0.602,0.102,0,0,NA,NA,"adenylylsulfate kinase activity, chloroplast, hydrogen sulfide biosynthetic process, male gamete generation, phosphorylation, plastid, regulation of glucosinolate biosynthetic process, sulfate assimilation","DEGs",20
"Chir03Ox-b03770.2","Chir03Ox-b03770.2","AT3G04520","AT3G04520.1",1.40538468986041,0.837,0.111,0,0,NA,NA,"amino acid metabolic process, cytosol, glycine biosynthetic process, L-allo-threonine aldolase activity, lyase activity, nucleus, threonine aldolase activity, threonine catabolic process","DEGs",21
"Chir07Ox-b26310.2","Chir07Ox-b26310.2","AT4G29100","BHLH68",0.611776266923664,0.582,0.114,0,0,"Yes","bHLH","DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleus, protein binding, protein dimerization activity, regulation of DNA-templated transcription, regulation of transcription by RNA polymerase II, response to abscisic acid, RNA polymerase II cis-regulatory region sequence-specific DNA binding","DEGs",22
"Chir01Ox-b23760.2","Chir01Ox-b23760.2","AT1G24100","AT1G24100.1",1.06843901273272,0.583,0.127,0,0,NA,NA,"cytosol, defense response by callose deposition in cell wall, defense response to bacterium, glucosinolate biosynthetic process, glycosyltransferase activity, nucleus, quercetin 3-O-glucosyltransferase activity, quercetin 7-O-glucosyltransferase activity, thiohydroximate beta-D-glucosyltransferase activity, UDP-glucose: 4-methylthiobutylhydroximate S-glucosyltransferase activity, UDP-glucose: 6-methylthiohexylhydroximate S-glucosyltransferase activity, UDP-glucose: 9-methylthiononylhydroximate S-glucosyltransferase activity, UDP-glucose:5-methylthiopentylhydroximate S-glucosyltransferase activity, UDP-glucose:7-methylthioheptylhydroximate S-glucosyltransferase activity, UDP-glucose:8-methylthiooctylhydroximate S-glucosyltransferase activity","DEGs",23
"Chir02Ox-b20950.2","Chir02Ox-b20950.2","AT1G74090","SOT18",3.28565566025721,0.916,0.137,0,0,NA,NA,"3-methylthiopropyl-desulfoglucosinolate sulfotransferase activity, 4-methylthiobutyl-desulfoglucosinolate sulfotransferase activity, 5-methylthiopentyl-desulfoglucosinolate sulfotransferase activity, 7-methylthioheptyl-desulfoglucosinolate sulfotransferase activity, 8-methylthiooctyl-desulfoglucosinolate sulfotransferase activity, cytoplasm, desulfoglucosinolate sulfotransferase activity, glucosinolate biosynthetic process, indol-3-yl-methyl-desulfoglucosinolate sulfotransferase activity, sulfation, sulfotransferase activity","DEGs",24
"Chir04Ox-b13630.2","Chir04Ox-b13630.2","AT2G31790","AT2G31790.1",2.13775918262983,0.8,0.169,0,0,NA,NA,"chloroplast, glucosinolate metabolic process, glycosyltransferase activity, organic acid biosynthetic process, peroxisome, quercetin 3-O-glucosyltransferase activity, quercetin 7-O-glucosyltransferase activity, regulation of secondary metabolic process, regulation of small molecule metabolic process, response to inorganic substance, signal transduction","DEGs",25
"Chir04Ox-b29570.2","Chir04Ox-b29570.2","AT2G46650","B5 #1",2.6640547762679,0.901,0.181,0,0,NA,NA,"carboxylic acid metabolic process, cell wall organization or biogenesis, cellular catabolic process, cellular macromolecule localization, cytosol, defense response to bacterium, defense response to other organism, heme binding, hormone-mediated signaling pathway, intracellular membrane-bounded organelle, jasmonic acid mediated signaling pathway, membrane, monocarboxylic acid metabolic process, organic substance catabolic process, regulation of small molecule metabolic process, response to wounding, tryptophan metabolic process","DEGs",26
"Chir08Ox-b23950.2","Chir08Ox-b23950.2","AT5G61420","HAG1",2.01077035289438,0.866,0.186,0,0,"Yes","MYB","cellular response to sulfur starvation, defense response to fungus, DNA-binding transcription factor activity, induced systemic resistance, nucleus, regulation of DNA-templated transcription, regulation of glucosinolate biosynthetic process, response to bacterium, response to insect, transcription cis-regulatory region binding","DEGs",27
"Chir02Ox-b02980.2","Chir02Ox-b02980.2","AT1G62480","AT1G62480.1",2.81541790645054,0.63,0.199,1.23127699295917e-292,2.42069056815773e-288,NA,NA,"cytosol, nucleus","DEGs",28
"Chir01Ox-b08030.2","Chir01Ox-b08030.2","AT1G08465","YAB2",0.738396372473494,0.726,0.384,3.17990876498012e-156,6.25170063195091e-152,"Yes","YABBY","abaxial cell fate specification, cell fate commitment, DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription, transcription cis-regulatory region binding","DEGs",29
