"gene_ID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","AT_ID","TF","TF_family","Gene_code_name","Gene_functions"
"Chir02Ox-b11260.2",0,0.780111053101696,0.806,0.448,0,"AT1G65620","Yes","LBD","AT1G65620.1","adaxial/abaxial axis specification, nucleoplasm, nucleus, petal development, polarity specification of adaxial/abaxial axis, protein binding, proximal/distal pattern formation, specification of symmetry"
"Chir01Ox-b18000.2",0,0.662951593406199,0.804,0.464,0,"AT1G17920","Yes","HD-ZIP","AT1G17920.1","cell differentiation, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, lipid binding, maintenance of floral organ identity, nucleus, protein binding, trichome branching"
"Chir08Ox-b23780.2",7.74140710963494e-119,0.431599466126663,0.599,0.475,1.38431841934492e-114,"AT5G61270","Yes","bHLH","PIF7","de-etiolation, DNA-binding transcription factor activity, double-stranded DNA binding, nuclear speck, nucleus, protein binding, protein dimerization activity, regulation of DNA-templated transcription, response to light stimulus"
"Chir02Ox-b24270.2",1.46079098068912e-133,0.265716643179793,0.628,0.492,2.61218643166829e-129,"AT1G77200","Yes","ERF","AT1G77200.1","DNA-binding transcription factor activity, nucleus, protein binding, regulation of DNA-templated transcription, regulation of post-embryonic development, response to abscisic acid, response to red or far red light, response to salt stress, response to water deprivation, root development"
"Chir01Ox-b24250.2",2.17658969663997e-19,0.28596059222172,0.482,0.493,3.8921776955316e-15,"AT1G26945","Yes","bHLH","PRE6","nucleus, protein dimerization activity, regulation of DNA-templated transcription, regulation of growth, response to light stimulus"
"Chir08Ox-b24140.2",2.22258108969048e-66,0.385767359372382,0.593,0.499,3.97441950458451e-62,"AT5G61590","Yes","ERF","ERF107","DNA-binding transcription factor activity, glucosinolate metabolic process, negative regulation of wax biosynthetic process, nucleus, positive regulation of DNA-templated transcription, regulation of DNA-templated transcription, response to water deprivation, transcription cis-regulatory region binding"
"Chir06Ox-b24060.2",0,0.946603706358652,0.825,0.515,0,"AT5G15310","Yes","MYB","ATMYB16","cell morphogenesis, cuticle pattern formation, DNA-binding transcription factor activity, nucleus, regulation of cutin biosynthetic process"
"Chir07Ox-b32140.2",4.50844799198309e-58,0.254354164123647,0.614,0.516,8.06200669926416e-54,"AT4G34680","Yes","GATA","AT4G34680.1","cell differentiation, circadian rhythm, DNA-binding transcription factor activity, nucleolus, nucleus, positive regulation of DNA-templated transcription, transcription cis-regulatory region binding, zinc ion binding"
"Chir05Ox-b23950.2",1.31285051333449e-162,0.336603895031463,0.695,0.522,2.34763928794474e-158,"AT3G58120","Yes","bZIP","ATBZIP61","DNA binding, DNA-binding transcription factor activity, nucleus, positive regulation of DNA-templated transcription, protein binding, regulation of DNA-templated transcription, transcription cis-regulatory region binding"
"Chir06Ox-b11030.2",0,0.627589287688712,0.733,0.536,0,"AT5G49330","Yes","MYB","ATMYB111","DNA-binding transcription factor activity, flavonol biosynthetic process, nucleus, positive regulation of flavonol biosynthetic process, protein binding, response to light stimulus, response to UV-B"
"Chir04Ox-b21810.2",0,0.762806971508106,0.856,0.545,0,"AT2G39250","Yes","AP2","SNZ","DNA binding, DNA-binding transcription factor activity, nucleolus, nucleus, protein binding, regulation of DNA-templated transcription"
"Chir06Ox-b00960.2",0,0.72087529336543,0.845,0.557,0,"AT5G46880","Yes","HD-ZIP","HB-7","DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, lipid binding, maintenance of floral organ identity, nucleus"
"Chir08Ox-b23150.2",2.38999494909308e-111,0.329853336880189,0.665,0.565,4.27378896796825e-107,"AT5G60690","Yes","HD-ZIP","AVB1","cell differentiation, determination of bilateral symmetry, DNA-binding transcription factor activity, lipid binding, meristem initiation, nucleus, polarity specification of adaxial/abaxial axis, protein binding, radial pattern formation, transcription cis-regulatory region binding, xylem and phloem pattern formation, xylem development"
