"PeakID","Chr","Start","End","Strand","Peak.Score","Focus.Ratio.Region.Size","Annotation","Detailed.Annotation","Distance.to.TSS","Nearest.PromoterID","Chi_ID","Ath_ID","CH_ID"
"Peak277","Chr1",5217057,5217991,"+",0,NA,"promoter-TSS",NA,-255,"Chir01Ox_b14810.2_T001","Chir01Ox_b14810.2","AT1G14700","Chir01Ox-b14810.2"
"Peak758","Chr1",7470248,7470873,"+",0,NA,"Intergenic",NA,-3481,"Chir01Ox_b21060.2_T001","Chir01Ox_b21060.2","AT1G21310","Chir01Ox-b21060.2"
"Peak891","Chr5",20677961,20678581,"+",0,NA,"exon",NA,193,"Chir05Ox_b19470.2_T001","Chir05Ox_b19470.2","AT3G53990","Chir05Ox-b19470.2"
"Peak1220","Chr3",2749953,2750930,"+",0,NA,"promoter-TSS",NA,-908,"Chir03Ox_b08070.2_T001","Chir03Ox_b08070.2","AT3G08860","Chir03Ox-b08070.2"
"Peak1788","Chr1",11514231,11516184,"+",0,NA,"intron",NA,1940,"Chir01Ox_b29650.2_T001","Chir01Ox_b29650.2","AT1G31040","Chir01Ox-b29650.2"
"Peak1798","Chr6",22745034,22746783,"+",0,NA,"promoter-TSS",NA,-506,"Chir06Ox_b28700.2_T001","Chir06Ox_b28700.2","AT5G10570","Chir06Ox-b28700.2"
"Peak1978","Chr1",11518900,11519546,"+",0,NA,"promoter-TSS",NA,-2076,"Chir01Ox_b29650.2_T001","Chir01Ox_b29650.2","AT1G31040","Chir01Ox-b29650.2"
"Peak1985","Chr6",3060581,3061237,"+",0,NA,"Intergenic",NA,-8975,"Chir06Ox_b04370.2_T003","Chir06Ox_b04370.2","AT5G44572","Chir06Ox-b04370.2"
"Peak2275","Chr8",3380805,3381534,"+",0,NA,"TTS",NA,3314,"Chir08Ox_b06850.2_T001","Chir08Ox_b06850.2","AT4G11320","Chir08Ox-b06850.2"
"Peak2371","Chr3",4242138,4242706,"+",0,NA,"promoter-TSS",NA,-302,"Chir03Ox_b12420.2_T001","Chir03Ox_b12420.2","AT3G13175","Chir03Ox-b12420.2"
"Peak2403","Chr1",5216015,5216826,"+",0,NA,"promoter-TSS",NA,-1359,"Chir01Ox_b14810.2_T001","Chir01Ox_b14810.2","AT1G14700","Chir01Ox-b14810.2"
"Peak2621","Chr8",3816632,3817149,"+",0,NA,"TTS",NA,2852,"Chir08Ox_b07590.2_T001","Chir08Ox_b07590.2","AT4G10640","Chir08Ox-b07590.2"
"Peak2641","Chr1",5220030,5220944,"+",0,NA,"TTS",NA,2708,"Chir01Ox_b14810.2_T003","Chir01Ox_b14810.2","AT1G14700","Chir01Ox-b14810.2"
"Peak2752","Chr5",19414393,19414846,"+",0,NA,"Intergenic",NA,-3695,"Chir05Ox_b16230.2_T001","Chir05Ox_b16230.2","AT3G50870","Chir05Ox-b16230.2"
"Peak3000","Chr8",3385805,3386459,"+",0,NA,"promoter-TSS",NA,-1649,"Chir08Ox_b06850.2_T001","Chir08Ox_b06850.2","AT4G11320","Chir08Ox-b06850.2"
"Peak3288","Chr1",11516724,11517215,"+",0,NA,"exon",NA,178,"Chir01Ox_b29650.2_T001","Chir01Ox_b29650.2","AT1G31040","Chir01Ox-b29650.2"
