"","Chirsutav12","pval","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","X","Athaliana","Chir_length","Ath_length","TF","TF_family","Gene_code_name","Gene_functions"
"1","Chir01Ox-b08780.2",0,2.72020385802488,0.981,0.383,0,"0","Chir01Ox-b08780.2",NA,NA,NA,NA,NA,NA,NA,NA
"2","Chir06Ox-b28870.2",0,2.71650997902444,0.996,0.574,0,"0","Chir06Ox-b28870.2",NA,NA,NA,NA,NA,NA,NA,NA
"3","Chir08Ox-b28050.2",0,2.68233608491956,0.985,0.428,0,"0","Chir08Ox-b28050.2",20342,"AT1G09200",707,763,NA,NA,"HTR2","chromosome organization, DNA replication, extracellular region, gametophyte development, negative regulation of cellular process, nucleus, regulation of cell cycle"
"4","Chir08Ox-b22080.2",0,2.63726953960346,0.999,0.589,0,"0","Chir08Ox-b22080.2",19825,"AT2G28740",717,714,NA,NA,"AT2G28740.1","DNA binding, nucleolus, nucleosome, nucleus, peroxisome, response to water deprivation"
"5","Chir06Ox-b16870.2",0,2.62418368298669,0.996,0.538,0,"0","Chir06Ox-b16870.2",NA,NA,NA,NA,NA,NA,NA,NA
"6","Chir06Ox-b12590.2",0,2.54154827607735,0.998,0.787,0,"0","Chir06Ox-b12590.2",13338,"AT5G27670",932,1051,NA,NA,"HTA7","chromatin binding, DNA binding, heterochromatin, heterochromatin organization, nucleolus, nucleus, plastid, protein heterodimerization activity, structural constituent of chromatin"
"7","Chir04Ox-b10410.2",0,2.53670323162895,0.961,0.31,0,"0","Chir04Ox-b10410.2",NA,NA,NA,NA,NA,NA,NA,NA
"8","Chir08Ox-b22300.2",0,2.51399154144491,0.99,0.464,0,"0","Chir08Ox-b22300.2",NA,NA,NA,NA,NA,NA,NA,NA
"9","Chir06Ox-b28880.2",0,2.49185584002007,0.989,0.461,0,"0","Chir06Ox-b28880.2",NA,NA,NA,NA,NA,NA,NA,NA
"10","Chir01Ox-b39860.2",0,2.45179890700169,0.995,0.752,0,"0","Chir01Ox-b39860.2",3147,"AT1G51060",802,935,NA,NA,"HTA10","cell differentiation, DNA binding, nucleolus, nucleus, plant-type cell wall, protein heterodimerization activity, structural constituent of chromatin"
"11","Chir03Ox-b20700.2",0,2.44961984221699,0.99,0.427,0,"0","Chir03Ox-b20700.2",7189,"AT3G20670",694,756,NA,NA,"HTA13","cytosol, DNA binding, nucleus, protein heterodimerization activity, structural constituent of chromatin"
"12","Chir08Ox-b22340.2",0,2.36018786390589,0.986,0.637,0,"0","Chir08Ox-b22340.2",19846,"AT5G59910",812,1285,NA,NA,"HTB4","chloroplast stroma, chloroplast thylakoid, DNA binding, nucleolus, nucleosome assembly, nucleus, plastid, protein heterodimerization activity, structural constituent of chromatin"
"13","Chir05Ox-b19240.2",0,2.32549581953205,0.973,0.415,0,"0","Chir05Ox-b19240.2",NA,NA,NA,NA,NA,NA,NA,NA
"14","Chir05Ox-b10770.2",0,2.29287720626033,0.998,0.879,0,"0","Chir05Ox-b10770.2",11202,"AT3G46030",800,747,NA,NA,"HTB11","cytosol, DNA binding, nucleosome assembly, nucleus, plasmodesma, protein heterodimerization activity, structural constituent of chromatin"
"15","Chir01Ox-b06140.2",0,2.25951218826895,0.978,0.514,0,"0","Chir01Ox-b06140.2",NA,NA,NA,NA,NA,NA,NA,NA
"16","Chir08Ox-b22400.2",0,2.2164556611298,0.995,0.749,0,"0","Chir08Ox-b22400.2",NA,NA,NA,NA,NA,NA,NA,NA
"17","Chir05Ox-b11100.2",0,2.2094201397996,0.966,0.34,0,"0","Chir05Ox-b11100.2",NA,NA,NA,NA,NA,NA,NA,NA
"18","Chir08Ox-b22280.2",0,2.07606073705755,0.967,0.346,0,"0","Chir08Ox-b22280.2",19842,"AT5G59870",814,866,NA,NA,"HTA6","chromatin binding, DNA binding, heterochromatin, heterochromatin organization, nucleolus, nucleus, pericentric heterochromatin, plasmodesma, plastid, protein heterodimerization activity, structural constituent of chromatin"
