"gene_ID","AT_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","p_val","p_val_adj","TF","TF_family","Gene_functions","source"
"Chir07Ox-b20540.2","AT4G23550","WRKY29",1.92585120780537,0.562,0.006,0,0,"Yes","WRKY","DNA-binding transcription factor activity, nucleus, transcription cis-regulatory region binding","DEGs"
"Chir06Ox-b35160.2","AT5G03790","ATHB51",1.24570765821547,0.601,0.041,0,0,"Yes","HD-ZIP","bract formation, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, floral meristem determinacy, leaf morphogenesis, nucleus, positive regulation of DNA-templated transcription, regulation of timing of transition from vegetative to reproductive phase, sequence-specific DNA binding","DEGs"
"Chir05Ox-b02980.2","AT3G25710","ATAIG1",1.27301517405475,0.584,0.045,0,0,"Yes","bHLH","anthocyanin-containing compound biosynthetic process, cellular response to phosphate starvation, DNA-binding transcription factor activity, nucleus, protein binding, protein dimerization activity, regulation of DNA-templated transcription, root development, root hair cell development","DEGs"
"Chir04Ox-b23870.2","AT2G41130","STC8",1.11596062807901,0.608,0.051,0,0,"Yes","bHLH","chloroplast envelope, DNA-binding transcription factor activity, hyperosmotic salinity response, nucleus, protein dimerization activity, regulation of DNA-templated transcription","DEGs"
"Chir08Ox-b23440.2","AT5G60970","TCP5",1.18122850550278,0.748,0.087,0,0,"Yes","TCP","cell differentiation, DNA-binding transcription factor activity, leaf development, leaf morphogenesis, leaf senescence, nucleus, positive regulation of development, heterochronic, protein binding, regulation of DNA-templated transcription, response to heat, sequence-specific DNA binding","DEGs"
"Chir04Ox-b29790.2","AT2G46870","AT2G46870.1",0.914914993569491,0.667,0.19,6.47495708472463e-279,1.27297656285686e-274,"Yes","B3","DNA-binding transcription factor activity, flower development, leaf development, nucleus, protein binding, regulation of leaf morphogenesis, sequence-specific DNA binding, stigma development","DEGs"
"Chir01Ox-b19750.2","AT1G19850","ARF5",0.893381225347021,0.619,0.213,7.38656392310747e-164,1.45219846728293e-159,"Yes","ARF","DNA-binding transcription factor activity, embryo development ending in seed dormancy, flower development, identical protein binding, leaf vascular tissue pattern formation, longitudinal axis specification, meristem development, nucleus, protein binding, regulation of DNA-templated transcription, response to auxin, root development, transcription cis-regulatory region binding, xylem and phloem pattern formation","DEGs"
"Chir04Ox-b12850.2","AT2G31070","TCP10",0.829632441545796,0.613,0.113,0,0,"Yes","TCP","cell differentiation, DNA-binding transcription factor activity, leaf development, leaf morphogenesis, leaf senescence, nucleus, positive regulation of development, heterochronic, protein binding, regulation of DNA-templated transcription, regulation of secondary shoot formation, sequence-specific DNA binding","DEGs"
"Chir01Ox-b43460.2","AT1G55110","AtIDD7",0.757605432891889,0.65,0.211,9.73900578818286e-214,1.91468853795675e-209,"Yes","C2H2","DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription","DEGs"
"Chir07Ox-b21070.2","AT4G24060","Dof4.6",0.704807708572185,0.464,0.086,1.25908098332979e-251,2.47535321322637e-247,"Yes","Dof","DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription","DEGs"
